epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.04302434769661236,0.8832844784353059,0.9177269338703558,0.05255792820208133,0.6982538009935271,0.35943110366546216,0.0001,250
2,0.03127325484061611,0.9379179564719704,0.9562914551648618,0.050392702997617375,0.7465000752671985,0.3912329465286824,0.0001,500
3,0.025770979352588274,0.9631452789045228,0.9723487880805192,0.05295135249603258,0.7416077073611319,0.43737127983261215,0.0001,750
4,0.018217532642941892,0.9836732411516269,0.9871238365905477,0.06454919318687725,0.7542902303176275,0.48642700761450497,0.0001,1000
5,0.007861059462712398,0.9968344717599975,0.997445656706176,0.08658618500426378,0.7769456570826434,0.5435223442266074,0.0001,1250
6,0.007092191507687562,0.997654964894684,0.9979409369565142,0.117493723994398,0.7693060364293242,0.5440303092071008,0.0001,1500
7,0.002528088738688991,0.9996856673068673,0.9997003098748691,0.12365424314255931,0.7776606954689146,0.4620248597300676,0.0001,1750
8,0.0019931476396650378,0.9997992724661252,0.999812727488879,0.20363715150990208,0.7671609212705103,0.5234557969905953,0.0001,2000
9,0.002719162677855106,0.9995006178647157,0.9996111555874959,0.12690756723148328,0.6790606653620352,0.3536742099515108,0.0001,2250
10,0.0023678574235548714,0.9997056009051644,0.9996909883707671,0.13247316966959632,0.7700963420141502,0.4852154601553816,0.0001,2500
11,0.0009641249476276865,0.9999142425776575,0.9999232135709999,0.1472833529447719,0.7567364142706607,0.45478209886163123,5e-05,2750
12,0.00029092335167052165,0.9999974924730309,0.999997512562686,0.19297161483830488,0.7633975613427666,0.49123716867534173,5e-05,3000
13,1.9043692364310138e-05,1.0,1.0,0.19084765059264813,0.7628706909528826,0.485261005239092,5e-05,3250
14,8.500861628929838e-06,1.0,1.0,0.2092465231758954,0.7620427517687791,0.48650583113293017,5e-05,3500
15,6.093577901434473e-06,1.0,0.9999999999999999,0.21265928106832466,0.7633975613427668,0.4863689650198297,2.5e-05,3750
16,4.25423714941726e-06,1.0,1.0,0.2149315189429631,0.7619674845702242,0.4868903772605534,2.5e-05,4000
