epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.06908611484078846,0.6636173646904763,0.6551204493576638,0.059136974934309514,0.7052160168598524,0.30796333467195175,5e-05,250
2,0.05414609822976103,0.8330044086558165,0.8370484077453246,0.05227748109390043,0.736677705855788,0.36875237191563315,5e-05,500
3,0.048302139281622615,0.8707763205237006,0.8745453760787342,0.052652037823977677,0.7194038837874454,0.3540484416767426,5e-05,750
4,0.0430011903843359,0.9054823399491281,0.9023450068960095,0.054405258035018736,0.7212479301520397,0.3689059884094194,5e-05,1000
5,0.03593232270916432,0.9382573498190345,0.9365024051185636,0.05952870732416277,0.6963721210296552,0.3555153698170947,5e-05,1250
6,0.029338870948277952,0.9602548634471735,0.9569413419572192,0.07331147878611934,0.680152039741081,0.3433082039013611,5e-05,1500
7,0.023642553676414674,0.9755369002347436,0.9715129126716213,0.09576244039132815,0.6740930302574138,0.35190491009093317,5e-05,1750
8,0.01936888477788557,0.9834400791520753,0.981353508641956,0.09428486258678087,0.6669426463947011,0.3531006742587668,5e-05,2000
9,0.01542025405468784,0.9903791433857989,0.9886724901469373,0.11797883887125235,0.6435345476441366,0.30443858551719316,2.5e-05,2250
10,0.013851508471221458,0.992380539784603,0.9913210069935955,0.11540515180378812,0.6718350143007678,0.3508001719443501,2.5e-05,2500
11,0.012951611186053128,0.9931710502954827,0.9921325571341817,0.11801793706417936,0.6776682221887701,0.34317021418820887,2.5e-05,2750
12,0.011394243771884863,0.9950708028549334,0.9943445992968833,0.13946698105827962,0.6553138642179739,0.36251417485607473,2.5e-05,3000
13,0.010637866084131628,0.9956526989952634,0.9949482335939284,0.13878193902580635,0.6555772994129158,0.33599982531094774,1.25e-05,3250
14,0.008870613597909421,0.9971581274686,0.9965479372522836,0.1400058652451198,0.6525289778714436,0.3307302066252824,1.25e-05,3500
