epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7680776119232178,0.8396202325820923,0.5568733811378479,0.7743682265281677,0.7566137313842773,0.796338677406311,0.5864443182945251,0.5600771903991699,0.2777777910232544,0.13698630034923553
1,0.8177542686462402,0.8828544616699219,0.46115434169769287,0.8444869518280029,0.7789535522460938,0.7986270189285278,0.604866087436676,0.5460516214370728,0.27272728085517883,0.12328767031431198
2,0.83039391040802,0.8977811336517334,0.43070897459983826,0.8579617738723755,0.791887104511261,0.6430205702781677,0.6246801018714905,0.7055299282073975,0.22516556084156036,0.465753436088562
3,0.8286302089691162,0.8951123356819153,0.4342920780181885,0.855597972869873,0.7907113432884216,0.7848970293998718,0.6076321005821228,0.5352929830551147,0.29411765933036804,0.2054794579744339
4,0.8392122387886047,0.9058075547218323,0.41290712356567383,0.8633501529693604,0.8059964776039124,0.766590416431427,0.6093444228172302,0.5568941831588745,0.2769230902194977,0.24657534062862396
5,0.8427395820617676,0.9063901305198669,0.41245681047439575,0.8616625070571899,0.8165785074234009,0.8192219734191895,0.6223467588424683,0.5210152268409729,0.25,0.04109589010477066
6,0.8362727761268616,0.9057196378707886,0.4179740250110626,0.8575000166893005,0.806584358215332,0.8146452903747559,0.6346718668937683,0.5203903317451477,0.30000001192092896,0.08219178020954132
7,0.8486184477806091,0.9138336181640625,0.3938266634941101,0.8781887888908386,0.8095238208770752,0.6636155843734741,0.5998042225837708,0.6954005360603333,0.2109375,0.36986300349235535
8,0.8497942090034485,0.9150838851928711,0.39534541964530945,0.8756313323974609,0.8154026865959167,0.8009153604507446,0.6252822279930115,0.5090713500976562,0.2083333283662796,0.06849315017461777
9,0.8571428656578064,0.921970546245575,0.37999022006988525,0.8891736268997192,0.8159905672073364,0.823798656463623,0.6529053449630737,0.5075857639312744,0.4285714328289032,0.16438356041908264
10,0.8415637612342834,0.9129819273948669,0.40267691016197205,0.8672566413879395,0.806584358215332,0.8283752799034119,0.6463758945465088,0.5066840052604675,0.4583333432674408,0.15068493783473969
11,0.866843044757843,0.9292661547660828,0.368070125579834,0.9010282754898071,0.8242210745811462,0.8169336318969727,0.6316423416137695,0.5126912593841553,0.39393940567970276,0.1780821979045868
12,0.8621399402618408,0.9231093525886536,0.37986990809440613,0.8923566937446594,0.8236331343650818,0.7574370503425598,0.6324325799942017,0.5587771534919739,0.260869562625885,0.24657534062862396
13,0.8677248954772949,0.9313159584999084,0.3628860414028168,0.8961368203163147,0.8318635821342468,0.8375285863876343,0.6385293006896973,0.5808037519454956,0.6666666865348816,0.054794520139694214
14,0.8574367761611938,0.9276216626167297,0.37475961446762085,0.8833543658256531,0.8236331343650818,0.8215103149414062,0.63070148229599,0.5428248643875122,0.3529411852359772,0.08219178020954132
15,0.8639035820960999,0.9308376908302307,0.3686025142669678,0.8902900218963623,0.8300999402999878,0.8009153604507446,0.6492548584938049,0.5370975136756897,0.32499998807907104,0.1780821979045868
16,0.8624338507652283,0.9285749197006226,0.3737879693508148,0.8904370069503784,0.826572597026825,0.766590416431427,0.6428382992744446,0.5599036812782288,0.2769230902194977,0.24657534062862396
