epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7986478805541992,0.8812402486801147,0.11566635966300964,1e-05,0.7822222113609314,0.8277483582496643,0.7208238244056702,0.6206721067428589,0.1624584197998047,0.23076923191547394,0.2876712381839752
1,0.8248089551925659,0.9112808704376221,0.09444311261177063,1e-05,0.7972028255462646,0.871252179145813,0.7505720853805542,0.6243414282798767,0.14182518422603607,0.25,0.24657534062862396
2,0.8427395820617676,0.9266900420188904,0.08771904557943344,1e-05,0.8175381422042847,0.8824220895767212,0.6086956262588501,0.6281235814094543,0.1281438022851944,0.23369565606117249,0.5890411138534546
3,0.8486184477806091,0.938953161239624,0.08036083728075027,1e-05,0.8134249448776245,0.9047619104385376,0.768878698348999,0.6526230573654175,0.13288816809654236,0.28787878155708313,0.2602739632129669
4,0.8733097910881042,0.9508650898933411,0.07547897100448608,1e-05,0.843986988067627,0.9159318208694458,0.6681922078132629,0.6610153913497925,0.14760661125183105,0.2721518874168396,0.5890411138534546
5,0.8706642985343933,0.9513475298881531,0.07560300827026367,1e-05,0.8409951329231262,0.914168119430542,0.5949656963348389,0.6496877074241638,0.12742063403129578,0.22043010592460632,0.5616438388824463
6,0.8941798806190491,0.9679515361785889,0.0668024942278862,1e-05,0.8673972487449646,0.9306290149688721,0.7848970293998718,0.666754424571991,0.15606583654880524,0.23076923191547394,0.12328767031431198
7,0.9012345671653748,0.969824492931366,0.06621959805488586,1e-05,0.8723404407501221,0.9400352835655212,0.5286040902137756,0.6305885314941406,0.14474201202392578,0.21212121844291687,0.6712328791618347
8,0.9162257313728333,0.9803488850593567,0.059371042996644974,1e-05,0.8881579041481018,0.9523809552192688,0.6796338558197021,0.6590019464492798,0.15030305087566376,0.2554744482040405,0.4794520437717438
9,0.9388595223426819,0.9872933030128479,0.05463577061891556,1e-05,0.9122031927108765,0.9711934328079224,0.6338672637939453,0.6612599492073059,0.14542530477046967,0.23952095210552216,0.5479452013969421
10,0.9417989253997803,0.9922581911087036,0.05058719962835312,5e-06,0.9168053269386292,0.971781313419342,0.7459954023361206,0.6641578674316406,0.15998445451259613,0.25641027092933655,0.27397260069847107
11,0.9594356417655945,0.9943748116493225,0.04858602210879326,5e-06,0.9432784914970398,0.9776601791381836,0.810068666934967,0.6744505763053894,0.20930056273937225,0.3076923191547394,0.10958904027938843
12,0.9600235223770142,0.9934595227241516,0.049048345535993576,5e-06,0.945868968963623,0.9758965373039246,0.7917619943618774,0.6543540954589844,0.20724081993103027,0.2750000059604645,0.15068493783473969
13,0.9682539701461792,0.9967655539512634,0.045486729592084885,5e-06,0.9512748122215271,0.9870664477348328,0.6796338558197021,0.6343142986297607,0.18257172405719757,0.24031007289886475,0.42465752363204956
14,0.9732510447502136,0.9976679086685181,0.0442718081176281,5e-06,0.9653179049491882,0.9817754030227661,0.7711670398712158,0.6872271299362183,0.1637561023235321,0.33734938502311707,0.3835616409778595
15,0.9720752239227295,0.9972113370895386,0.04425680637359619,5e-06,0.9614942669868469,0.9835391044616699,0.681922197341919,0.6663404703140259,0.1643378585577011,0.25735294818878174,0.4794520437717438
16,0.9603174328804016,0.9953141808509827,0.04653551056981087,5e-06,0.9433748722076416,0.9794238805770874,0.7162471413612366,0.655144453048706,0.16613079607486725,0.2743362784385681,0.42465752363204956
17,0.974426805973053,0.9971168637275696,0.043945204466581345,5e-06,0.9627293348312378,0.9870664477348328,0.7208238244056702,0.68925940990448,0.16936883330345154,0.2869565188884735,0.45205479860305786
18,0.9620811343193054,0.9954227805137634,0.046109504997730255,5e-06,0.947098970413208,0.9788359999656677,0.7139587998390198,0.6503273844718933,0.16420431435108185,0.25925925374031067,0.3835616409778595
19,0.9706055521965027,0.9969124794006348,0.04416227340698242,5e-06,0.9603220224380493,0.9817754030227661,0.7551487684249878,0.6639508008956909,0.1836838573217392,0.2926829159259796,0.3287671208381653
20,0.980893611907959,0.9986823797225952,0.040991950780153275,5e-06,0.9717416167259216,0.9905937910079956,0.8009153604507446,0.6645718216896057,0.26597273349761963,0.2666666805744171,0.10958904027938843
21,0.9882422089576721,0.9993104934692383,0.039579812437295914,2.5e-06,0.9831297397613525,0.993533194065094,0.7482837438583374,0.6634426712989807,0.17947988212108612,0.28735631704330444,0.34246575832366943
22,0.9885361790657043,0.9995633363723755,0.038715723901987076,2.5e-06,0.9814600348472595,0.9958847761154175,0.7734553813934326,0.661975085735321,0.21853305399417877,0.21739129722118378,0.13698630034923553
