epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6619304418563843,0.6875514388084412,9.999999747378752e-06,0.11102017015218735,0.2609289586544037,0.5617647171020508,0.5606407523155212,0.6443248987197876,0.1101263016462326,0.21800947189331055,0.6301369667053223
1,0.6869181990623474,0.7542786598205566,9.999999747378752e-06,0.09994839131832123,0.3050847351551056,0.6882352828979492,0.6636155843734741,0.6014413833618164,0.11234918236732483,0.21969696879386902,0.39726027846336365
2,0.7168054580688477,0.782469630241394,9.999999747378752e-06,0.09540949016809464,0.3323943614959717,0.6941176652908325,0.5423340797424316,0.6253763437271118,0.11723185330629349,0.21266968548297882,0.6438356041908264
3,0.7511023879051208,0.8386899828910828,9.999999747378752e-06,0.08741263300180435,0.3806818127632141,0.7882353067398071,0.7643020749092102,0.6391502022743225,0.10678402334451675,0.2916666567325592,0.2876712381839752
4,0.7819696068763733,0.8652263879776001,4.999999873689376e-06,0.08120997250080109,0.41885626316070557,0.7970588207244873,0.6773455142974854,0.6561606526374817,0.10325588285923004,0.2571428716182709,0.4931506812572479
5,0.7951984405517578,0.9094278216362,4.999999873689376e-06,0.07523594051599503,0.4412650465965271,0.8617647290229797,0.7162471413612366,0.6263548135757446,0.1108136996626854,0.2616822421550751,0.3835616409778595
6,0.8069573640823364,0.9188945889472961,4.999999873689376e-06,0.07288887351751328,0.4579439163208008,0.8647058606147766,0.5697940587997437,0.6488409042358398,0.12030697613954544,0.23004694283008575,0.6712328791618347
7,0.8255757093429565,0.9442430734634399,4.999999873689376e-06,0.06753989309072495,0.48722043633461,0.8970588445663452,0.6727688908576965,0.6279543042182922,0.11586222052574158,0.24637681245803833,0.465753436088562
8,0.8437040448188782,0.9496152400970459,2.499999936844688e-06,0.06660997867584229,0.5175879597663879,0.908823549747467,0.6384439468383789,0.6330535411834717,0.11899104714393616,0.23602484166622162,0.5205479264259338
9,0.8515433669090271,0.9632914066314697,2.499999936844688e-06,0.0630016103386879,0.5315161943435669,0.9176470637321472,0.725400447845459,0.653319239616394,0.11488225311040878,0.25773194432258606,0.34246575832366943
