seed,threshold,tp,tn,fp,fn,sensitivity_recall,specificity,precision_ppv,npv,f1,accuracy,balanced_accuracy,mcc,roc_auc,pr_auc,brier_score,ece,sensitivity_at_specificity_0_90
17,0.11654852330684662,49,269,95,24,0.6712328767123288,0.739010989010989,0.3402777777777778,0.9180887372013652,0.45161290322580655,0.7276887871853547,0.7051219328616589,0.32556608834229817,0.7544407647147373,0.46792876903982683,0.13593130884489885,0.09375712712928312,"{'target_specificity': 0.9, 'sensitivity': 0.4246575342465753, 'achieved_specificity': 0.9038461538461539, 'threshold': 0.494537889957428}"
42,0.07092592865228653,47,266,98,26,0.6438356164383562,0.7307692307692307,0.32413793103448274,0.910958904109589,0.43119266055045874,0.7162471395881007,0.6873024236037935,0.29676322886795165,0.7375056450398916,0.45498366604965984,0.13417396917935673,0.1039274807180783,"{'target_specificity': 0.9, 'sensitivity': 0.4383561643835616, 'achieved_specificity': 0.9010989010989011, 'threshold': 0.33299633860588074}"
73,0.10161362588405609,43,299,65,30,0.589041095890411,0.8214285714285714,0.39814814814814814,0.9088145896656535,0.47513812154696133,0.782608695652174,0.7052348336594911,0.35496322748948966,0.7499247328014451,0.4812750649088834,0.12432016946702558,0.08685960145283583,"{'target_specificity': 0.9, 'sensitivity': 0.4383561643835616, 'achieved_specificity': 0.9010989010989011, 'threshold': 0.21307292580604553}"
