epoch,loss,auc,val_loss,val_auc
1,0.6800861394819702,0.684650027089303,0.5332033726934438,0.5877615535149782
2,0.5952452676077317,0.7821407318696708,0.7237865849817917,0.60255155803101
3,0.5440392578614948,0.8240087679564152,0.5701046148208514,0.6347282854132168
4,0.49624855048759947,0.8574805003827549,0.5649740685041764,0.6139545386120728
5,0.4656488230313765,0.8759230707003204,0.5368001481488313,0.6166641577600482
6,0.4203885354510068,0.9009728144381544,0.6193440197807155,0.6049224747854884
7,0.38265124056890887,0.9191358500340027,0.6260442474614019,0.591299111847057
8,0.3460017541082347,0.935592991684052,0.8147691368238331,0.6034547644136685
9,0.3062135509253785,0.9506322957782216,0.6883905615904784,0.5716543730242359
10,0.26667770445243766,0.9637102959275308,0.7453900237378048,0.5645416227608008
