pipeline,class,FID,IS_mean,precision,recall,density,coverage
02,positive,113.0254,2.4143,0.612,0.274,0.3456,0.9726
02,negative,114.1593,2.3812,0.4717,0.2055,0.2178,0.8767
03,positive,99.2599,2.0892,0.6774,0.0822,0.4457,0.9315
03,negative,108.8956,2.1472,0.5217,0.0685,0.2292,0.8219
