class,FID_delta_pct,IS_mean_delta_pct,precision_delta_pct,recall_delta_pct,density_delta_pct,coverage_delta_pct
positive,12.18,-13.52,10.69,-70.0,28.96,-4.23
negative,4.61,-10.13,10.6,-66.67,5.23,-6.25
