epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5296423435211182,0.5317728519439697,0.9247830510139465,0.18106995522975922,0.5176470875740051,0.2471395879983902,0.5704125165939331,0.941008448600769,0.17512691020965576,0.9452054500579834
1,0.5399314165115356,0.5669494271278381,0.8285201191902161,0.19218911230564117,0.550000011920929,0.33409610390663147,0.5995597243309021,1.0381399393081665,0.19034090638160706,0.9178082346916199
2,0.5512003898620605,0.5744320154190063,0.7969383597373962,0.19811320304870605,0.5558823347091675,0.485125869512558,0.6536203622817993,0.8000960350036621,0.21212121844291687,0.767123281955719
3,0.5752082467079163,0.6235432624816895,0.7359588742256165,0.21451787650585175,0.5823529362678528,0.5903890132904053,0.6082907319068909,0.7403096556663513,0.21195651590824127,0.534246563911438
4,0.5943164825439453,0.6177032589912415,0.747760534286499,0.22082379460334778,0.5676470398902893,0.549199104309082,0.6149330139160156,0.7307945489883423,0.2102803736925125,0.6164383292198181
5,0.5903968811035156,0.6342955827713013,0.7262511849403381,0.2268722504377365,0.6058823466300964,0.3684210479259491,0.6316424012184143,0.9396536350250244,0.20058996975421906,0.931506872177124
6,0.6178343892097473,0.6630520224571228,0.7078096270561218,0.24418604373931885,0.6176470518112183,0.6864988803863525,0.5951377153396606,0.6452902555465698,0.23770491778850555,0.39726027846336365
7,0.6276335120201111,0.6933058500289917,0.6799511313438416,0.25750577449798584,0.6558823585510254,0.44851258397102356,0.6301746368408203,0.8086728453636169,0.20212766528129578,0.7808219194412231
8,0.5987260937690735,0.657469630241394,0.7044904232025146,0.23359288275241852,0.6176470518112183,0.4759725332260132,0.6368545889854431,0.8034467697143555,0.21111111342906952,0.7808219194412231
9,0.5997060537338257,0.6587352752685547,0.702110767364502,0.2404787838459015,0.6499999761581421,0.4942791759967804,0.6138415932655334,0.7818859815597534,0.2109375,0.7397260069847107
