pipeline,class,FID,IS_mean,precision,recall,density,coverage
02_full_finetune,positive,113.003,2.4152,0.615,0.274,0.3483,0.9726
02_full_finetune,negative,114.235,2.3851,0.4688,0.2055,0.2153,0.8767
04_lora,positive,145.0583,1.7946,0.3622,0.0,0.17,0.3973
04_lora,negative,150.8738,1.809,0.2226,0.0137,0.0816,0.3425
