epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6962962746620178,0.7454741597175598,0.6893686056137085,0.6513410210609436,0.6995884776115417,0.7574370503425598,0.6128631830215454,0.5324685573577881,0.1764705926179886,0.12328767031431198
1,0.7193121910095215,0.7800906300544739,0.6210991740226746,0.6733477711677551,0.7307466268539429,0.7734553813934326,0.6206721663475037,0.5451186895370483,0.25925925374031067,0.19178082048892975
2,0.7306878566741943,0.7911471128463745,0.5983441472053528,0.68271803855896,0.7501469850540161,0.7345537543296814,0.6365534663200378,0.5790312886238098,0.24705882370471954,0.2876712381839752
3,0.7436507940292358,0.8062295317649841,0.5771902203559875,0.6976242065429688,0.7595531940460205,0.7757437229156494,0.6311718821525574,0.5135478377342224,0.2222222238779068,0.13698630034923553
4,0.7547619342803955,0.8119993209838867,0.5679143667221069,0.708737850189209,0.7724867463111877,0.8283752799034119,0.6257337927818298,0.5010689496994019,0.375,0.04109589010477066
5,0.7552909851074219,0.8135824799537659,0.564486026763916,0.7122538089752197,0.7654321193695068,0.7871853709220886,0.6442307233810425,0.4954221248626709,0.1428571492433548,0.054794520139694214
6,0.7637566328048706,0.8248231410980225,0.5512638688087463,0.7158119678497314,0.7877718806266785,0.8009153604507446,0.6422549486160278,0.507243275642395,0.31578946113586426,0.16438356041908264
7,0.7648147940635681,0.8283023834228516,0.5470776557922363,0.7164179086685181,0.790123462677002,0.7894737124443054,0.6157797574996948,0.5247424840927124,0.2978723347187042,0.19178082048892975
8,0.7693121433258057,0.8297465443611145,0.545027494430542,0.7263790369033813,0.7818930149078369,0.823798656463623,0.6318116784095764,0.5322840809822083,0.1666666716337204,0.013698630034923553
9,0.7730158567428589,0.8313940763473511,0.544943630695343,0.7312122583389282,0.783656656742096,0.7139587998390198,0.6148953437805176,0.5913456678390503,0.25,0.3561643958091736
10,0.776190459728241,0.8365882635116577,0.5361747145652771,0.7337343096733093,0.7889477014541626,0.7917619943618774,0.6250563859939575,0.5195193290710449,0.2857142984867096,0.16438356041908264
11,0.7666666507720947,0.8313739895820618,0.5435503125190735,0.7224334478378296,0.7818930149078369,0.782608687877655,0.6065782904624939,0.5320677161216736,0.2884615361690521,0.2054794579744339
12,0.7783069014549255,0.8427064418792725,0.530581533908844,0.7348938584327698,0.7936508059501648,0.725400447845459,0.6304004192352295,0.5936695337295532,0.2626262605190277,0.3561643958091736
