epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.04285530457836256,0.8845341023069208,0.9183170700517811,0.05124694465295128,0.6970871594159266,0.3691845599160706,0.0001,250
2,0.030351227360657936,0.940301980564217,0.9574215628378664,0.050432085428276104,0.7488709920216768,0.4280349216043301,0.0001,500
3,0.02559514214323426,0.9641585972324197,0.9729374527285938,0.057241491530116144,0.7223769381303627,0.4711989196121064,0.0001,750
4,0.01791688740927573,0.9840316921318568,0.9869882397447971,0.07993975854361562,0.7471022128556375,0.47802454825144486,0.0001,1000
5,0.008708326792985568,0.9964751401719176,0.9969898158839179,0.09302785750734247,0.7930528375733855,0.5948987801010046,0.0001,1250
6,0.006006435922958805,0.9982303159478435,0.9984784621946917,0.13126343382014713,0.7161673942495861,0.44459960339344157,0.0001,1500
7,0.00158961752712724,0.9998509207929258,0.9998598338735687,0.17015279713706155,0.7660695468914647,0.5497373616728375,0.0001,1750
8,0.0022214378479097152,0.999816323649515,0.999819942500323,0.1484358399132484,0.7433012193286167,0.5118473109675707,0.0001,2000
9,0.002103176989169897,0.9998175744396589,0.9998178574773959,0.15729266570164935,0.7486828240252897,0.4453922745803062,0.0001,2250
10,0.0007741699072508235,0.9999418223253818,0.9999457538938585,0.19476831544919773,0.7261026644588289,0.449951160263104,5e-05,2500
11,7.431826124965338e-05,1.0,1.0,0.2346681290687864,0.720570525365046,0.4437145591329794,5e-05,2750
12,1.099825635855315e-05,1.0,1.0,0.25283148472438743,0.717032967032967,0.4479542291878838,5e-05,3000
13,1.5236193152054868e-05,1.0,1.0,0.23581349793960765,0.7299789251844047,0.47851330846345846,5e-05,3250
14,8.55154436800638e-06,1.0,1.0,0.2570230080464067,0.7244467860906216,0.46892377299472765,2.5e-05,3500
15,4.870735205035365e-06,1.0,1.0,0.2459232089984765,0.7267424356465453,0.4730893074704698,2.5e-05,3750
