epoch,loss,auc,val_loss,val_auc
1,1.1849452220341739,0.534969723183391,1.1946259385115494,0.5470419990967935
2,1.1476678014970294,0.5877456747404844,1.148539105869267,0.598562396507602
3,1.1148905564172595,0.6197750865051903,1.1545350896684747,0.576847809724522
4,1.1062110956393036,0.6337629757785467,1.2496003594496703,0.5830573536052989
5,1.1054335228952707,0.6352709407445558,1.1540275951272017,0.6038311004064429
6,1.0773499181457595,0.6695951557093426,1.1692242610099932,0.6095890410958904
7,1.0784041033655989,0.6724671280276817,1.1993011118891037,0.5981860605148277
8,1.0555863349168908,0.6880190311418686,1.1719110017510246,0.6074062923377992
9,1.047499710730478,0.6984543189066297,1.2870420089302674,0.6058633147674243
10,1.0386067610160976,0.7038944636678202,1.1810598899898048,0.6269381303627878
11,1.041779092918424,0.7037249134948097,1.19897467907288,0.6185458377239199
12,1.0452730167438002,0.7003788927335641,1.2019422914943652,0.5971323197350594
13,1.0347341481377097,0.7084031141868511,1.174194784404484,0.6243790456119223
14,1.0147822333317178,0.7274377162629758,1.2448710627359438,0.5934442270058709
1,1.1849452220341739,0.534969723183391,1.1946259385115494,0.5470419990967935
2,1.1476678014970294,0.5877456747404844,1.148539105869267,0.598562396507602
1,1.1849452220341739,0.534969723183391,1.1946259385115494,0.5470419990967935
2,1.1476678014970294,0.5877456747404844,1.148539105869267,0.598562396507602
3,1.1148905564172595,0.6197750865051903,1.1545350896684747,0.576847809724522
4,1.1062110956393036,0.6337629757785467,1.2496003594496703,0.5830573536052989
5,1.1054335228952707,0.6352709407445558,1.1540275951272017,0.6038311004064429
6,1.0773499181457595,0.6695951557093426,1.1692242610099932,0.6095890410958904
7,1.0784041033655989,0.6724671280276817,1.1993011118891037,0.5981860605148277
8,1.0555863349168908,0.6880190311418686,1.1719110017510246,0.6074062923377992
9,1.047499710730478,0.6984543189066297,1.2870420089302674,0.6058633147674243
10,1.0386067610160976,0.7038944636678202,1.1810598899898048,0.6269381303627878
11,1.041779092918424,0.7037249134948097,1.19897467907288,0.6185458377239199
12,1.0452730167438002,0.7003788927335641,1.2019422914943652,0.5971323197350594
13,1.0347341481377097,0.7084031141868511,1.174194784404484,0.6243790456119223
14,1.0147822333317178,0.7274377162629758,1.2448710627359438,0.5934442270058709
15,1.0274951544170285,0.7137058823529412,1.2190208115894134,0.6061643835616438
16,1.027480241247252,0.7168096885813149,1.33930784586638,0.6022128556375131
17,1.0170265206227116,0.719432525951557,1.2257797030616953,0.6101535450850519
