epoch,loss,auc,val_loss,val_auc
1,0.7796623296847864,0.7356829104190696,0.6761222791344405,0.545085051934367
2,0.722557409996746,0.7842572087658594,0.6848384002799027,0.5544181845551709
3,0.7123815525104018,0.7906876443452429,0.6827053300848814,0.561267499623664
4,0.6933393424549023,0.8060202794310467,0.6789697399128493,0.5601384916453409
5,0.6903872080272486,0.8074346248605219,0.6745777686618831,0.5708264338401324
6,0.6869328182159352,0.8101241909312812,0.7264499350597984,0.565858798735511
1,0.7796623296847864,0.7356829104190696,0.6761222791344405,0.545085051934367
2,0.722557409996746,0.7842572087658594,0.6848384002799027,0.5544181845551709
3,0.7123815525104018,0.7906876443452429,0.6827053300848814,0.561267499623664
4,0.6933393424549023,0.8060202794310467,0.6789697399128493,0.5601384916453409
5,0.6903872080272486,0.8074346248605219,0.6745777686618831,0.5708264338401324
6,0.6869328182159352,0.8101241909312812,0.7264499350597984,0.565858798735511
7,0.6814904679082522,0.8135732410611303,0.6863289355413319,0.5784660544934517
8,0.6773787073102318,0.8160822653213049,0.7037163037184447,0.5737994881830497
9,0.6739467617969553,0.819177047289504,0.7034783221491414,0.5765091073310251
10,0.6669486675881037,0.822336832070059,0.6949242206132658,0.5742134577751016
11,0.667297123159681,0.8227830272395373,0.7053704024452366,0.574853228962818
12,0.6685816581447085,0.821371107266436,0.6994552261769362,0.5782402528977871
13,0.6765874215096486,0.8169640034446979,0.7184693518710628,0.5708264338401324
14,0.6716062617151677,0.8192475260016971,0.7620610327415117,0.5742887249736566
