epoch,loss,auc,val_loss,val_auc
1,0.5984099572613126,0.8026532224063088,0.5141210996586344,0.6321315670630739
2,0.5437927247039855,0.8408230565784945,0.502794829604282,0.6329971398464549
3,0.5178306289608516,0.8572590777176314,0.5191471231611151,0.6506096643082945
4,0.503893998659477,0.8655907638858843,0.5396139882249199,0.5867454463344874
5,0.48409458614846385,0.8771811505497573,0.5084358549227158,0.6422926388679814
6,0.4662556497035203,0.885769879303095,0.5387271896379763,0.6614481409001958
7,0.4404868643435221,0.8995472487535979,0.5101103391199963,0.6625018816799638
8,0.42967119905999096,0.9045636794020099,0.5335301851653398,0.6310778262833058
9,0.39228957689628396,0.9213886577202274,0.5617999988917083,0.6395077525214512
10,0.36544965806776886,0.9327204465358493,0.5502020412506173,0.638378744543128
11,0.3328771375080265,0.9450155088015171,0.6653019435345717,0.6046966731898239
12,0.29203614146305773,0.9588463227499089,0.5967722239838039,0.6286316423302725
13,0.2535767379931357,0.9701901295081777,0.6297679566682339,0.6445882884239047
14,0.2231920211206353,0.9774498151923197,0.6748816154777867,0.6240403432184254
