pipeline,class,n_classes,FID,IS_mean,IS_std,precision,recall,density,coverage,n_generated,n_real_reference
FineTuned_SD2.1,available_average,2,113.59235000000001,2.4025,0.11565,0.5418499999999999,0.23975000000000002,0.2817,0.92465,2722,73
FromScratch_CustomVAE,available_average,1,154.5427,2.2722,0.0963,0.1139,0.0137,0.0534,0.4932,1361,73
FromScratch_SD_VAE,available_average,2,110.53415,2.4913499999999997,0.10519999999999999,0.2928,0.11095,0.1478,0.4356,2722,219
