epoch,phase,loss,auc,val_loss,val_auc
1,head_training,0.7796051742748731,0.7377099036145411,0.6254792017031043,0.6675824175824177
2,head_training,0.7351841281347857,0.7766957885072407,0.5945143481413887,0.7019795273219931
3,head_training,0.7124262147907847,0.7947436306533483,0.5955312606671855,0.7031085353003161
4,head_training,0.7024055911654713,0.8016088050560798,0.5982470141395552,0.7008881529429474
5,head_training,0.6930587944452837,0.808207490042166,0.5845665803490296,0.7176351046214059
6,head_training,0.6817803215247203,0.814104048373589,0.5917798073395438,0.7124040343218425
7,head_training,0.6778030600050731,0.8167469590831228,0.5889885763827396,0.7151889206683728
8,head_training,0.6767463351457329,0.8168457406428232,0.5832075832637551,0.7200436549751619
9,head_training,0.6754489614386381,0.8178873149117725,0.5849575696329776,0.7183501430076772
10,head_training,0.663583654904851,0.8254355124411007,0.5824450243528703,0.7219629685383111
11,head_training,0.6715999271422656,0.8200431336544262,0.5862762889818414,0.7212479301520398
12,head_training,0.6686005194022479,0.8226015664509024,0.5962077616554103,0.7160168598524763
13,head_training,0.6557633490615499,0.8304819157747527,0.5943196913743183,0.7261026644588289
14,head_training,0.6539346140934693,0.8315772487156476,0.5844853218960271,0.7213231973505946
15,head_training,0.6595113520709351,0.8274481987196989,0.5926592088127572,0.7273445732349841
16,head_training,0.6582546995738813,0.8289248342408949,0.5882977893750783,0.7191780821917808
17,head_training,0.6515413750977469,0.8319602792532613,0.5885046142189672,0.7247478548848412
18,head_training,0.6516300475687483,0.8330192290929646,0.5823456583634121,0.7284735812133072
19,head_training,0.6483532517065953,0.8346479248576643,0.5876978442106967,0.7279467108234231
20,head_training,0.6438604025512389,0.8364381846310869,0.5924680950439767,0.722489838928195
21,head_training,0.6435141503097579,0.8368930213947995,0.5910946878197537,0.7235812133072407
22,head_training,0.6419916491335289,0.8385069335247142,0.6015912365313253,0.711839530332681
23,head_training,0.649645219248632,0.8334935533752574,0.5947958045474997,0.7164684630438054
24,head_training,0.6367080258942691,0.8406489286088676,0.5816036888336426,0.7272316724371519
25,head_training,0.6432429217201007,0.8373776174233392,0.5901264023180685,0.7241080836971248
1,fine_tuning,0.07374420960723366,0.8205341615240738,0.06647979585747969,0.7165437302423603
2,fine_tuning,0.05997967073326661,0.83200127024062,0.06371433761831825,0.7039364744844199
3,fine_tuning,0.057567403850630756,0.833217176202879,0.06257371367456166,0.7002860153545084
4,fine_tuning,0.05624244413892937,0.836022706895049,0.06141822017916826,0.6994580761704049
5,fine_tuning,0.053633183914305355,0.8434741388148747,0.0572686195544029,0.6966731898238748
6,fine_tuning,0.053207090840528874,0.8445265608158417,0.05767588399231297,0.696522655426765
