epoch,loss,auc,val_loss,val_auc
1,0.781682179063252,0.7356227231762467,0.6413033693278681,0.6125997290380852
2,0.738793926143406,0.771565099255788,0.6368514411236657,0.6076320939334637
3,0.7149629083822036,0.7908788621285898,0.6181522635082358,0.6475989763660996
4,0.7054476412171554,0.7973233749233458,0.6125137996891816,0.6585127201565558
5,0.6961043937201763,0.8047522474004802,0.6212365826425618,0.652303176275779
6,0.6883755082246162,0.8087672522138014,0.6116508777408906,0.6676953183802499
7,0.6793040096722254,0.8156028593469629,0.6067911200992575,0.6783832605750414
8,0.6754313022705429,0.8183272720430714,0.621569391791826,0.6605825681168147
9,0.6727204836768912,0.8201717704765821,0.6036814216618134,0.6825229564955592
10,0.660541183678713,0.8274502146698969,0.6099262120249069,0.6778940237844348
11,0.6618954550436558,0.8266180112286505,0.6161537295893619,0.6686361583621858
12,0.6615300501016116,0.8256662907399536,0.6076325030839689,0.6806789101309649
13,0.6585810532370661,0.8288394923491811,0.6054864355301147,0.6815821165136233
14,0.6498208906178512,0.8338795598393537,0.6063068436812482,0.6783079933764864
15,0.6510473810622803,0.8328428814494566,0.6155488027315118,0.6779316573837121
16,0.6519697645920404,0.8325781199901237,0.6204822737237682,0.6604696673189824
