epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5247427821159363,0.5302417278289795,0.9013766646385193,0.1772540956735611,0.5088235139846802,0.44851258397102356,0.5488672256469727,1.0589443445205688,0.17938931286334991,0.6438356041908264
1,0.5649191737174988,0.598484456539154,0.7900002598762512,0.212184876203537,0.5941176414489746,0.725400447845459,0.5900571942329407,0.5993750095367432,0.21686747670173645,0.24657534062862396
2,0.5840274095535278,0.6287460923194885,0.740390419960022,0.22246456146240234,0.6000000238418579,0.6018306612968445,0.6086482405662537,0.7293489575386047,0.2178770899772644,0.534246563911438
3,0.5825575590133667,0.6128954887390137,0.7447194457054138,0.21681416034698486,0.5764706134796143,0.6773455142974854,0.6369674205780029,0.6299010515213013,0.230158731341362,0.39726027846336365
4,0.6095051169395447,0.6571592688560486,0.7117305397987366,0.24526198208332062,0.6470588445663452,0.46681922674179077,0.5839982032775879,0.8531304001808167,0.20370370149612427,0.7534246444702148
5,0.6168544888496399,0.6841322183609009,0.6830843687057495,0.2459770143032074,0.6294117569923401,0.6796338558197021,0.6397711038589478,0.6201745271682739,0.2442748099565506,0.4383561611175537
6,0.6193042397499084,0.6796218752861023,0.6891575455665588,0.2485615611076355,0.6352941393852234,0.42334094643592834,0.6334863305091858,0.9295287728309631,0.20462046563625336,0.8493150472640991
7,0.6286134123802185,0.702068030834198,0.6728590130805969,0.25754061341285706,0.6529411673545837,0.4965675175189972,0.6459242701530457,0.7961359620094299,0.21400777995586395,0.7534246444702148
8,0.6129348278045654,0.6817901730537415,0.6904900670051575,0.2488839328289032,0.6558823585510254,0.5011441707611084,0.6361960172653198,0.7931450009346008,0.20647773146629333,0.698630154132843
9,0.6442919969558716,0.7118934988975525,0.6695852875709534,0.27078384160995483,0.6705882549285889,0.5331807732582092,0.6319810152053833,0.7897191643714905,0.2062780261039734,0.6301369667053223
10,0.6501714587211609,0.7200037837028503,0.6655840873718262,0.2779097259044647,0.6882352828979492,0.5743706822395325,0.6209920048713684,0.7106391787528992,0.2216748744249344,0.6164383292198181
11,0.6472317576408386,0.71026211977005,0.6669466495513916,0.2660098373889923,0.6352941393852234,0.6590389013290405,0.5907722115516663,0.6684037446975708,0.22058823704719543,0.4109589159488678
12,0.6300832629203796,0.6901978850364685,0.6864669322967529,0.25090035796165466,0.6147058606147766,0.5057207942008972,0.5884765386581421,0.8779799938201904,0.20083682239055634,0.6575342416763306
13,0.6428221464157104,0.7156248688697815,0.6686646342277527,0.268176406621933,0.6617646813392639,0.6910755038261414,0.6080837845802307,0.6297928690910339,0.23728813230991364,0.3835616409778595
14,0.6433120965957642,0.7084102034568787,0.6765216588973999,0.26225489377975464,0.6294117569923401,0.5812357068061829,0.6012531518936157,0.7568878531455994,0.2135416716337204,0.5616438388824463
