experiment_id,energy_kwh,co2_kg,elapsed_seconds,n_runs
01_sd21_baseline_50steps,0.6508638641604343,0.20280587558558563,12196.337895091001,38
02_sd21_filtered_100steps,2.0079929667655882,0.664079417982782,21087.067926609,6
03_sd21_vae_finetuned,4.573157514893991,1.512425507010711,127954.361577877,12
04_sd21_lora,1.0563186201594108,0.34934358142187993,29985.720457961997,19
06_ldm_extra1361_fromscratch,5.363267767548278,1.9052722261189583,94900.83457994193,29
07_ldm_sdvae_extra1361,1.8075301623575823,0.5977827602345749,41867.009838921,14
08_ldm_v3_sdvae_fromscratch,0.6756266884666129,0.22344190715630124,48443.14925872302,42
08_ldm_v3_sdvae_fromscratch_sampling_st100_08011d0b6145,0.00016509035476906588,5.459835194851593e-05,6.350250084001345,3
08_ldm_v3_sdvae_fromscratch_sampling_st25_2058ec8ae46d,0.00018638215889621578,6.16399348258387e-05,7.243192120000003,3
08_ldm_v3_sdvae_fromscratch_sampling_st50_fee56a99e979,0.00014943094966273103,4.941950481055908e-05,6.4284723819992,3
08_ldm_v3_sdvae_fromscratch_sampling_st75_ece830e86b27,0.00015507380544961083,5.12856987906844e-05,6.238946773999487,3
01_rsna_512_gray_mlo,2.2601916718524603e-05,7.47486069331702e-06,24.089116118000675,1
02_data_augmentation,2.2311160194211314e-05,7.378702277109177e-06,24.45505314699949,1
