run_id,experiment_id,phase,architecture,energy_kwh,co2_kg,elapsed_seconds,value_precision
legacy-8948b343553d4d75cd21,02_sd21_filtered_100steps,filtering,,0.07807933335840837,0.0258222409696261,1300.1944775320007,measured
legacy-68c6b19760eb3150cbfd,02_sd21_filtered_100steps,filtering,,1.2364282152565014,0.40890906649319964,12693.719255551998,measured
legacy-1e83ea4f26ee269e1767,02_sd21_filtered_100steps,filtering,,0.0024125982751874555,0.000797889676373445,88.5677539290009,measured
legacy-4073103c031b451954f7,02_sd21_filtered_100steps,filtering,,0.0023682591810918895,0.0007832259398523476,86.39863372000036,measured
legacy-30df4be7c964a70285ef,03_sd21_vae_finetuned,generator_training,,1.513599525072213,0.5005746077328321,22175.025063562003,measured
legacy-3606a8867401944de0cc,03_sd21_vae_finetuned,generator_training,,0.0008404828006410288,0.00027796279086239974,31.12981285200658,measured
legacy-2b83390e13606a484c4f,03_sd21_vae_finetuned,generator_training,,0.0008523972665833523,0.0002819031192099131,30.924528627001564,measured
legacy-4437f03957abc69d58b5,03_sd21_vae_finetuned,generation,,0.2701319441963215,0.08933749632071906,21230.34260748,measured
legacy-c5a69da0f605e14a9044,03_sd21_vae_finetuned,generation,,0.2637873560514593,0.08723922681862652,21253.769038234,measured
legacy-d2a96e6d38c2a17bfa2d,03_sd21_vae_finetuned,generation,,2.9770795788536983e-05,9.845738041593375e-06,0.005770588002633303,measured
legacy-6a6f76c8ab76e6ded105,03_sd21_vae_finetuned,generation,,3.0131737308867684e-05,9.965107899314102e-06,0.006063155000447296,measured
legacy-d02e23e2c125249fb58e,03_sd21_vae_finetuned,generator_training,,2.142268654131872,0.7084868047571844,32798.272070057996,measured
legacy-10eebfc85603805e9921,03_sd21_vae_finetuned,validation,,0.1905311884253397,0.06301209357365149,15029.403264247,measured
legacy-757cf5fbcb97db01ee84,03_sd21_vae_finetuned,validation,,0.186065692787085,0.061535273787159186,15053.370396311,measured
legacy-7744c7fa72334ef95071,03_sd21_vae_finetuned,validation,,0.002514333922060407,0.0008315354860359736,176.74040997500197,measured
legacy-cbe7b380ad513a50bf9d,03_sd21_vae_finetuned,validation,,0.0025060377073182287,0.00082879177848887,175.37255278799785,measured
legacy-d468e792d109c98c1b10,04_sd21_lora,generator_training,,0.00043505269374048374,0.0001438797567684653,29.211224192999907,measured
legacy-917aea22d02e288aab34,04_sd21_lora,generator_training,,0.0005006707192494178,0.00016558081892872894,34.877071967999996,measured
legacy-f9a7f241170cdd82da0f,04_sd21_lora,generator_training,,0.002154525801594919,0.0007125404640518684,46.32904653600053,measured
legacy-ba2f24e211344dc1bf13,04_sd21_lora,generator_training,,0.0019512841493540686,0.0006453247913060789,43.80022199099767,measured
legacy-45bc820de77658878190,04_sd21_lora,generator_training,,0.002346173604728477,0.0007759218422085924,45.322928543999296,measured
legacy-5fec558c7838d4cd5fff,04_sd21_lora,generator_training,,0.001707817213441659,0.0005648058931949986,36.23025716699999,measured
legacy-2fbbc3cc39a42bea207d,04_sd21_lora,generator_training,,0.0013193050473852962,0.0004363179266611704,29.724569161000545,measured
legacy-434e2410902917d1dc06,04_sd21_lora,generator_training,,0.2086994372719019,0.06902066049568886,17701.206480114,measured
legacy-250c2a11e5a6258ccbda,04_sd21_lora,generator_training,,0.0004690019603425694,0.00015510739032057388,36.668518852999114,measured
legacy-1c9383a857ea4654a0f7,04_sd21_lora,generator_training,,0.0005434118492700351,0.00017971607996688748,43.880976398,measured
legacy-3689350196f639609cb0,04_sd21_lora,generator_training,,0.0004195584065476456,0.00013875551709662426,28.27303122400008,measured
legacy-ee6d1a98501854c56d35,04_sd21_lora,generator_training,,0.00048430203457448893,0.00016016740027040584,37.82510873800038,measured
legacy-6e01da8ded13fef9d2cf,04_sd21_lora,generator_training,,0.0007668192187828875,0.000253600918397439,43.37695891200201,measured
legacy-322f2592d20728217bd6,04_sd21_lora,generator_training,,0.0006870402373530697,0.0002272165732169325,35.348077178001404,measured
legacy-ce157013af023ce1909a,04_sd21_lora,generator_training,,0.0005786414875842029,0.00019136715549087241,45.98869461899994,measured
legacy-788ddb4c0d155c19a28b,04_sd21_lora,generation,,0.7544959808567826,0.24952540179699342,8534.910436168999,measured
legacy-05499cf6b443bf409b59,04_sd21_lora,generation,,0.00028810289992049526,9.528081485590635e-05,7.795611376001034,measured
legacy-523a73b0050bf76a808b,04_sd21_lora,validation,,0.031282348660143,0.010345635784185172,2120.7422568889997,measured
legacy-1986ba15ab4ecb365d96,04_sd21_lora,validation,,0.04718914604671351,0.015606300002277,1084.2089879319974,measured
legacy-7459bcce1a4afc432c59,06_ldm_extra1361_fromscratch,validation,,2.0333083335497828e-05,8.005856787724499e-08,0.16542673599906266,measured
legacy-e66b67c29686986b4358,06_ldm_extra1361_fromscratch,validation,,0.01912486311887806,0.008600909941274316,411.61994162999326,measured
legacy-7a0b61bcb9c2ac0e2496,06_ldm_extra1361_fromscratch,validation,,0.0001868051560770899,8.401076201161318e-05,1.654994679032825,measured
legacy-60cc3cfd40164d8795ca,06_ldm_extra1361_fromscratch,validation,,0.00011405222935018268,5.129202479228156e-05,0.957545997982379,measured
legacy-8833f1a1f6967a49dde7,06_ldm_extra1361_fromscratch,validation,,0.00010066807644133826,4.527285000950441e-05,0.8340336079709232,measured
legacy-f333a7ba97f91e2a3799,06_ldm_extra1361_fromscratch,validation,,0.00014415657617519425,6.483067206381306e-05,1.1963951890356839,measured
legacy-6466a90207b44ee51b48,06_ldm_extra1361_fromscratch,validation,,0.00010002441524691368,4.4983380122503006e-05,0.7754373679636046,measured
legacy-2a9e8542dc174ebb2901,06_ldm_extra1361_fromscratch,validation,,0.00014347554551683296,6.452439623201219e-05,1.278846519999206,measured
legacy-244e04a4840a9e1ad413,06_ldm_extra1361_fromscratch,validation,,4.166318794498546e-05,1.6404276247925822e-07,0.8388907150074374,measured
legacy-1ab3c0e0139324e1d73c,06_ldm_extra1361_fromscratch,validation,,2.2259263404112166e-05,7.361539074481168e-06,0.16346140101086348,measured
legacy-87f70f4b3367575bacd1,06_ldm_extra1361_fromscratch,validation,,4.422095711708895e-05,1.4624666495849422e-05,0.8422353289788589,measured
legacy-8acf57e94364ec0654b4,06_ldm_extra1361_fromscratch,validation,,2.186074202157786e-05,1.852720026457149e-06,0.15930845599996246,measured
legacy-73ab1ca1614918a91068,06_ldm_extra1361_fromscratch,validation,,4.401596202953693e-05,3.7303973605016032e-06,0.8073614099998849,measured
legacy-450cc3dca8b0714d4b63,06_ldm_extra1361_fromscratch,validation,,0.038393910218749994,0.012697557199724561,767.8782043749998,measured
legacy-614b2db3b4f9013aedc5,06_ldm_extra1361_fromscratch,validation,,1.6960223462801554e-06,5.609051183170805e-07,0.16743912499805447,measured
legacy-942f914f8294da9c239d,06_ldm_extra1361_fromscratch,validation,,1.7265270493711977e-06,5.709935727139437e-07,0.6692086670009303,measured
legacy-50fbd7a2bafc1fc1428f,06_ldm_extra1361_fromscratch,generation,,0.09825556553630013,0.032494884123034105,1965.1113107260026,measured
legacy-593d2cd74cfccc9a4d42,06_ldm_extra1361_fromscratch,filtering,,0.0008542808664523627,0.0002825260595913925,62.804000942996936,measured
legacy-c88b17c87ed45651e4eb,06_ldm_extra1361_fromscratch,generation,,0.14258283823954998,0.04715471109690749,2851.6567647909997,measured
legacy-f8c6bf57ec2069915f52,06_ldm_extra1361_fromscratch,filtering,,0.0012423274065213109,0.00010528850590737972,91.08528043799924,measured
legacy-dcde5d4df4dffb87f80a,06_ldm_extra1361_fromscratch,filtering,,0.04344238890834985,0.014367179974991647,868.8477781669972,measured
legacy-d799550148946899dbd4,06_ldm_extra1361_fromscratch,filtering,,3.016024213444975e-06,9.974534958220952e-07,0.10698495900214766,measured
legacy-1a63bdef1fad9fb8e144,06_ldm_extra1361_fromscratch,filtering,,0.00020670101570272495,9.295840758589228e-05,3.440704416949302,measured
legacy-bef35e45ad068a77d78f,06_ldm_extra1361_fromscratch,filtering,,0.021918915150813633,0.00985746219728451,484.3554211719893,measured
legacy-a0fa27757454366122b8,06_ldm_extra1361_fromscratch,filtering,,0.00024066748005547206,0.00010823394180046713,4.2001074950094335,measured
legacy-927570a6d8a4acdc8955,06_ldm_extra1361_fromscratch,generator_training,,1.3754340003607504,0.45488078173130664,27508.680007215007,measured
legacy-cb05831ab31ce4a6d66d,06_ldm_extra1361_fromscratch,generator_training,,1.1792056349401,0.38998452917612,23584.112698801997,measured
legacy-cf59ef521eef71383703,06_ldm_extra1361_fromscratch,generator_training,,1.3754340003607504,0.45488078173130664,27508.680007215007,estimated
legacy-8c65dfae00ec161945f5,06_ldm_extra1361_fromscratch,generator_training,,1.0659417001770353,0.479379565170417,8777.74478239601,measured
legacy-a89ac9e36aa6e415bd91,07_ldm_sdvae_extra1361,validation,,0.0023703706323465316,0.0007839242347883802,169.30880330800028,measured
legacy-53997f48abd62ac23f78,07_ldm_sdvae_extra1361,validation,,2.2044549385049654e-05,7.290529283524852e-06,0.05909637100012333,measured
legacy-62ab6e461267696aa55f,07_ldm_sdvae_extra1361,validation,,4.4055887895103236e-05,1.4570075132892752e-05,0.637990286000786,measured
legacy-4024e359eb2e7705d4f5,07_ldm_sdvae_extra1361,validation,,5.2731383780230164e-05,1.743921778103016e-05,0.4535300669995195,measured
legacy-cae6aee1c92fc60b4ad7,07_ldm_sdvae_extra1361,validation,,9.041567058132351e-05,2.990208974331415e-05,0.8285094509992632,measured
legacy-78ea7cd6a82f9e914ba8,07_ldm_sdvae_extra1361,generation,,0.3897102393079182,0.1288841909234361,8991.79609694,measured
legacy-737a58b4600ea250512c,07_ldm_sdvae_extra1361,filtering,,0.0037833174367292183,0.0012512111760402138,84.93751225400047,measured
legacy-5a2eb3b3042eb6779e22,07_ldm_sdvae_extra1361,filtering,,0.002476309627389981,0.0008189601673511598,53.83319313700122,measured
legacy-511a90d4cd1e11d979f0,07_ldm_sdvae_extra1361,generation,,0.037953576631461046,0.012551930956403534,867.0183649899991,measured
