epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5384615659713745,0.5487697720527649,0.9092759490013123,0.18645833432674408,0.5264706015586853,0.45995423197746277,0.5371820330619812,0.9264165163040161,0.18773946166038513,0.6712328791618347
1,0.545810878276825,0.5963853597640991,0.7932881116867065,0.19959057867527008,0.5735294222831726,0.5949656963348389,0.5680038928985596,0.8691943287849426,0.22043010592460632,0.5616438388824463
2,0.6016658544540405,0.6395252346992493,0.7309912443161011,0.22909507155418396,0.5882353186607361,0.6979405283927917,0.5947425365447998,0.6071190237998962,0.22429905831813812,0.3287671208381653
3,0.6065654158592224,0.6600779294967651,0.7117103338241577,0.2366325408220291,0.6117647290229797,0.6979405283927917,0.6271451115608215,0.5904762148857117,0.21359223127365112,0.30136987566947937
4,0.6384125351905823,0.6881245970726013,0.6886422634124756,0.2590799033641815,0.6294117569923401,0.5469107627868652,0.604847252368927,0.7398346662521362,0.20095694065093994,0.5753424763679504
5,0.6222440004348755,0.6925822496414185,0.6818357706069946,0.2575927972793579,0.6735293865203857,0.485125869512558,0.6283681988716125,0.8465546369552612,0.20078739523887634,0.698630154132843
6,0.6570308804512024,0.7145312428474426,0.6639536023139954,0.2783251106739044,0.6647058725357056,0.5331807732582092,0.6398464441299438,0.7846784591674805,0.21397380530834198,0.6712328791618347
7,0.6653600931167603,0.7528002858161926,0.6301944255828857,0.29262393712997437,0.7117646932601929,0.44393593072891235,0.6479941606521606,0.8758905529975891,0.20279720425605774,0.7945205569267273
8,0.6589906811714172,0.7500665783882141,0.6325426697731018,0.28554216027259827,0.6970587968826294,0.6773455142974854,0.630456805229187,0.6401453614234924,0.25362318754196167,0.4794520437717438
9,0.6932876110076904,0.7730184197425842,0.6101248264312744,0.3128272294998169,0.7029411792755127,0.5789473652839661,0.6345776915550232,0.725777268409729,0.22110553085803986,0.6027397513389587
10,0.6918177604675293,0.7671672105789185,0.6155782341957092,0.3120936155319214,0.7058823704719543,0.45537757873535156,0.628913938999176,0.9028680920600891,0.20216606557369232,0.767123281955719
11,0.7070063948631287,0.7793763279914856,0.6055760979652405,0.3298152983188629,0.7352941036224365,0.5903890132904053,0.615629255771637,0.7543254494667053,0.20879121124744415,0.5205479264259338
12,0.7060264348983765,0.7954326868057251,0.5934141874313354,0.3316062092781067,0.7529411911964417,0.45080092549324036,0.6196371912956238,0.9697788953781128,0.2028469741344452,0.7808219194412231
13,0.698677122592926,0.8016366362571716,0.5858169198036194,0.3239436745643616,0.7441176176071167,0.6384439468383789,0.6181318759918213,0.7075520157814026,0.23926380276679993,0.534246563911438
14,0.6962273120880127,0.7714052200317383,0.6180445551872253,0.3162729740142822,0.7088235020637512,0.6361556053161621,0.5925222039222717,0.7313793301582336,0.2013888955116272,0.39726027846336365
