epoch,loss,auc,val_loss,val_auc
1,0.03943953910491581,0.9302633820891055,0.05611338323191047,0.6729263886798134
2,0.028649294267636863,0.953727810282778,0.05914717639883814,0.6761252446183953
3,0.025395712172579698,0.9649339998154421,0.05944298337335172,0.6717221135029353
4,0.02077261070402403,0.9784640981322672,0.06488492326209966,0.6911034171308144
5,0.015567678908601819,0.9894020911722916,0.0694974948411266,0.7161673942495861
6,0.011116071566670388,0.9950957368162933,0.08438303713309547,0.7126298359175072
7,0.006908571159463063,0.9984834456060533,0.11288985667763027,0.6886572331777812
8,0.00399405382645714,0.999499205260522,0.1302734272803864,0.7124040343218425
9,0.002156131478386669,0.9999236192978437,0.12146198589278032,0.7207963269607105
10,0.0010089254555702616,0.9999993087719262,0.14787416578775583,0.704312810477194
11,0.0005554623420654358,1.0,0.14573577742861665,0.7115008279391841
12,0.00036174532861116986,1.0,0.16147451437274485,0.7121782327261779
13,0.0002846592101207848,1.0,0.1673183079715179,0.7049902152641879
14,0.0001225565150932761,1.0,0.179576021281883,0.7062321240403432
