epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5795491933822632,0.6039260625839233,0.8089092969894409,0.524092435836792,0.5838235020637512,0.6201372742652893,0.6064842939376831,0.6789311766624451,0.22807016968727112,0.534246563911438
1,0.6347599029541016,0.6934340000152588,0.6860670447349548,0.578064501285553,0.658823549747467,0.6544622182846069,0.6179437041282654,0.6298738121986389,0.22535210847854614,0.4383561611175537
2,0.6664488911628723,0.7335944175720215,0.6551991701126099,0.6142953634262085,0.6698529124259949,0.7459954023361206,0.6209167242050171,0.5681198239326477,0.26829269528388977,0.30136987566947937
3,0.7063051462173462,0.7726259827613831,0.6128518581390381,0.6588559746742249,0.7029411792755127,0.7139587998390198,0.6148954033851624,0.5932355523109436,0.23469388484954834,0.31506848335266113
4,0.7236197590827942,0.8028577566146851,0.5804755091667175,0.6750681400299072,0.7286764979362488,0.6178489923477173,0.6384916305541992,0.7226749658584595,0.23888888955116272,0.5890411138534546
5,0.7265599370002747,0.8111199140548706,0.569639265537262,0.674217164516449,0.7441176176071167,0.7894737124443054,0.6468462944030762,0.5353177785873413,0.3272727131843567,0.24657534062862396
6,0.7540019750595093,0.8372029066085815,0.5435280799865723,0.7041022181510925,0.7698529362678528,0.6910755038261414,0.6246235966682434,0.6228100657463074,0.2075471729040146,0.30136987566947937
7,0.7673962712287903,0.853554368019104,0.5252547264099121,0.7137203216552734,0.7955882549285889,0.6109839677810669,0.6191102862358093,0.7659639120101929,0.2259887009859085,0.5479452013969421
8,0.7785037755966187,0.8617945313453674,0.5144229531288147,0.729784369468689,0.7963235378265381,0.7322654724121094,0.6286316514015198,0.6346790790557861,0.27551019191741943,0.36986300349235535
9,0.7843841910362244,0.8712127208709717,0.5030601024627686,0.7330226302146912,0.8095588088035583,0.5102974772453308,0.599503219127655,0.969527542591095,0.19480518996715546,0.6164383292198181
10,0.7909179925918579,0.8730385303497314,0.503129780292511,0.7442333698272705,0.8066176176071167,0.551487386226654,0.6516822576522827,0.945070743560791,0.2266666740179062,0.698630154132843
11,0.7938582301139832,0.8804453015327454,0.49465304613113403,0.7474541664123535,0.8095588088035583,0.7620137333869934,0.6521714329719543,0.6212873458862305,0.29870128631591797,0.31506848335266113
12,0.8069258332252502,0.8948283791542053,0.4760288894176483,0.7589225769042969,0.8286764621734619,0.7070938348770142,0.6205592155456543,0.7164435386657715,0.2689075767993927,0.4383561611175537
13,0.82522052526474,0.9032013416290283,0.4599139988422394,0.7850725650787354,0.8352941274642944,0.6864988803863525,0.6260348558425903,0.7411283850669861,0.23333333432674408,0.3835616409778595
14,0.8098660707473755,0.8969289064407349,0.47330477833747864,0.7631934881210327,0.8294117450714111,0.7322654724121094,0.6229677796363831,0.6701754927635193,0.260869562625885,0.3287671208381653
15,0.8209735155105591,0.9029061198234558,0.46416082978248596,0.7807745337486267,0.8301470875740051,0.7803203463554382,0.618094265460968,0.6435098052024841,0.2982456088066101,0.232876718044281
16,0.8350212574005127,0.9157441854476929,0.4414363205432892,0.7898305058479309,0.8566176295280457,0.5629290342330933,0.6197500824928284,0.9830829501152039,0.21078431606292725,0.5890411138534546
17,0.8324077129364014,0.9172720313072205,0.44044139981269836,0.7947112321853638,0.8397058844566345,0.7139587998390198,0.5915061831474304,0.7254865169525146,0.20454545319080353,0.24657534062862396
18,0.8343678712844849,0.9177945256233215,0.43990790843963623,0.797627329826355,0.8404411673545837,0.6086956262588501,0.6035488247871399,0.9981457591056824,0.2247191071510315,0.5479452013969421
