epoch,loss,auc,val_loss,val_auc
1,0.6561454916576746,0.7683538230106859,0.5644688884508146,0.6944151738672286
2,0.5623523719518725,0.8382359425251582,0.5008208637106609,0.7139470118922173
3,0.5314066568763768,0.8514044506691566,0.48386531945497,0.7216995333433689
4,0.5138572216793355,0.8610488639900404,0.5658122677552072,0.7250112900797833
5,0.5053742489211897,0.8624183006535948,0.4772477193609801,0.7282101460183652
6,0.4868809899758841,0.8736938911367016,0.5347346705757507,0.7322745747403282
7,0.47268834236944784,0.8836828249818447,0.5098672303236867,0.7321993075417733
8,0.46893749132689133,0.884155946329149,0.47807236476130016,0.7233930453108536
9,0.461222020931705,0.8873536760383166,0.4796677263159501,0.7185383110040644
10,0.45987436026383444,0.8852093923989348,0.46918129020752025,0.7269306036429324
11,0.44782542489159927,0.8931662171041256,0.48577170104674944,0.7200436549751618
12,0.4488125812068791,0.8918186101601134,0.48632315503650725,0.7296025891916302
13,0.4483432837392878,0.8908438375350141,0.4799421943843501,0.7249360228812284
