epoch,phase,loss,auc,val_loss,val_auc
1,head_training,0.6561454916576746,0.7683538230106859,0.5644688884508146,0.6944151738672286
2,head_training,0.5623523719518725,0.8382359425251582,0.5008208637106609,0.7139470118922173
3,head_training,0.5314066568763768,0.8514044506691566,0.48386531945497,0.7216995333433689
4,head_training,0.5138572216793355,0.8610488639900404,0.5658122677552072,0.7250112900797833
5,head_training,0.5053742489211897,0.8624183006535948,0.4772477193609801,0.7282101460183652
6,head_training,0.4868809899758841,0.8736938911367016,0.5347346705757507,0.7322745747403282
7,head_training,0.47268834236944784,0.8836828249818447,0.5098672303236867,0.7321993075417733
8,head_training,0.46893749132689133,0.884155946329149,0.47807236476130016,0.7233930453108536
9,head_training,0.461222020931705,0.8873536760383166,0.4796677263159501,0.7185383110040644
10,head_training,0.45987436026383444,0.8852093923989348,0.46918129020752025,0.7269306036429324
11,head_training,0.44782542489159927,0.8931662171041256,0.48577170104674944,0.7200436549751618
12,head_training,0.4488125812068791,0.8918186101601134,0.48632315503650725,0.7296025891916302
13,head_training,0.4483432837392878,0.8908438375350141,0.4799421943843501,0.7249360228812284
1,fine_tuning,0.06302708255967422,0.8666712055192448,0.05792585255693244,0.7276456420292037
2,fine_tuning,0.055287297092784626,0.8700619445308988,0.05612274527004164,0.7251241908776156
3,fine_tuning,0.04911397087908928,0.8845140834111422,0.05356965174800471,0.7268553364443776
4,fine_tuning,0.047592306945914736,0.8858035498149878,0.05303202813290895,0.7274574740328166
5,fine_tuning,0.045184751863633056,0.8958735345990247,0.05240391443741403,0.7229414421195243
6,fine_tuning,0.04568960368742802,0.8880811892658298,0.052747796581593474,0.719027547794671
