path,experiment_id,architecture,dataset_variant,stage,regime,generator,training_policy,seeds,dataset_status,checkpoint_legacy_available,training_required,validation_available,test_allowed,compile_status,dry_run_status,generator_ownership,note_blocker
notebooks/3_classifiers_matrix/resnet50/R50_RSB_CONTROLLED_06_ldm_extra1361_fromscratch.ipynb,resnet50__RSB_CONTROLLED_06_ldm_extra1361_fromscratch,resnet50,RSB_CONTROLLED_06_ldm_extra1361_fromscratch,1,controlled,06_ldm_extra1361_fromscratch,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_FULL_06_ldm_extra1361_fromscratch.ipynb,resnet50__RSB_FULL_06_ldm_extra1361_fromscratch,resnet50,RSB_FULL_06_ldm_extra1361_fromscratch,1,full_available,06_ldm_extra1361_fromscratch,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_06_ldm_extra1361_fromscratch.ipynb,resnet50__RSP_CONTROLLED_06_ldm_extra1361_fromscratch,resnet50,RSP_CONTROLLED_06_ldm_extra1361_fromscratch,1,controlled,06_ldm_extra1361_fromscratch,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_CONTROLLED_07_ldm_sdvae_extra1361.ipynb,resnet50__RSB_CONTROLLED_07_ldm_sdvae_extra1361,resnet50,RSB_CONTROLLED_07_ldm_sdvae_extra1361,1,controlled,07_ldm_sdvae_extra1361,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_FULL_07_ldm_sdvae_extra1361.ipynb,resnet50__RSB_FULL_07_ldm_sdvae_extra1361,resnet50,RSB_FULL_07_ldm_sdvae_extra1361,1,full_available,07_ldm_sdvae_extra1361,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_07_ldm_sdvae_extra1361.ipynb,resnet50__RSP_CONTROLLED_07_ldm_sdvae_extra1361,resnet50,RSP_CONTROLLED_07_ldm_sdvae_extra1361,1,controlled,07_ldm_sdvae_extra1361,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_CONTROLLED_08_ldm_v3_sdvae_fromscratch.ipynb,resnet50__RSB_CONTROLLED_08_ldm_v3_sdvae_fromscratch,resnet50,RSB_CONTROLLED_08_ldm_v3_sdvae_fromscratch,1,controlled,08_ldm_v3_sdvae_fromscratch,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSB_FULL_08_ldm_v3_sdvae_fromscratch.ipynb,resnet50__RSB_FULL_08_ldm_v3_sdvae_fromscratch,resnet50,RSB_FULL_08_ldm_v3_sdvae_fromscratch,1,full_available,08_ldm_v3_sdvae_fromscratch,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_08_ldm_v3_sdvae_fromscratch.ipynb,resnet50__RSP_CONTROLLED_08_ldm_v3_sdvae_fromscratch,resnet50,RSP_CONTROLLED_08_ldm_v3_sdvae_fromscratch,1,controlled,08_ldm_v3_sdvae_fromscratch,resnet50_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RSP_CONTROLLED_05_ldm_basic_fromscratch.ipynb,resnet50__RSP_CONTROLLED_05_ldm_basic_fromscratch,resnet50,RSP_CONTROLLED_05_ldm_basic_fromscratch,1,controlled,05_ldm_basic_fromscratch,resnet50_standard,"17,42,73",BLOCKED,False,True,False,False,PASS,BLOCKED,scripts/create_classifier_matrix_notebooks.py,"RuntimeError: dataset RSP_CONTROLLED_05_ldm_basic_fromscratch is blocked: runtime dataset resolution failed: variant RSP_CONTROLLED_05_ldm_basic_fromscratch: only 0 synthetic files on disk for 05_ldm_basic_fromscratch/positive (no_candidates_found), need 1361"
notebooks/3_classifiers_matrix/resnet50/R50_RSP_FULL_05_ldm_basic_fromscratch.ipynb,resnet50__RSP_FULL_05_ldm_basic_fromscratch,resnet50,RSP_FULL_05_ldm_basic_fromscratch,1,full_available,05_ldm_basic_fromscratch,resnet50_standard,"17,42,73",BLOCKED,False,True,False,False,PASS,BLOCKED,scripts/create_classifier_matrix_notebooks.py,"RuntimeError: dataset RSP_FULL_05_ldm_basic_fromscratch is blocked: runtime dataset resolution failed: variant RSP_FULL_05_ldm_basic_fromscratch: only 0 synthetic files on disk for 05_ldm_basic_fromscratch/positive (no_candidates_found), need 1361"
notebooks/3_classifiers_matrix/resnet50/R50_RS_PARTIAL_G02.ipynb,resnet50__RS_PARTIAL_G02,resnet50,RS_PARTIAL_G02,1,not_applicable,02_sd21_filtered_100steps,resnet50_standard,"17,42,73",READY,True,False,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_RS_FULL_G02.ipynb,resnet50__RS_FULL_G02,resnet50,RS_FULL_G02,1,not_applicable,02_sd21_filtered_100steps,resnet50_standard,"17,42,73",READY,True,False,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/resnet50/R50_SYNTHETIC_ONLY_PARTIAL_G02.ipynb,resnet50__SYNTHETIC_ONLY_PARTIAL_G02,resnet50,SYNTHETIC_ONLY_PARTIAL_G02,1,not_applicable,02_sd21_filtered_100steps,resnet50_standard,"17,42,73",READY,True,False,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_R.ipynb,maxvit512__R,maxvit512,R,1,not_applicable,,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RA.ipynb,maxvit512__RA,maxvit512,RA,1,not_applicable,,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_01_sd21_baseline_50steps.ipynb,maxvit512__RSB_CONTROLLED_01_sd21_baseline_50steps,maxvit512,RSB_CONTROLLED_01_sd21_baseline_50steps,1,controlled,01_sd21_baseline_50steps,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_FULL_01_sd21_baseline_50steps.ipynb,maxvit512__RSB_FULL_01_sd21_baseline_50steps,maxvit512,RSB_FULL_01_sd21_baseline_50steps,1,full_available,01_sd21_baseline_50steps,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSP_CONTROLLED_01_sd21_baseline_50steps.ipynb,maxvit512__RSP_CONTROLLED_01_sd21_baseline_50steps,maxvit512,RSP_CONTROLLED_01_sd21_baseline_50steps,1,controlled,01_sd21_baseline_50steps,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
notebooks/3_classifiers_matrix/maxvit512/MV_RSB_CONTROLLED_02_sd21_filtered_100steps.ipynb,maxvit512__RSB_CONTROLLED_02_sd21_filtered_100steps,maxvit512,RSB_CONTROLLED_02_sd21_filtered_100steps,1,controlled,02_sd21_filtered_100steps,maxvit512_standard,"17,42,73",READY,False,True,False,False,PASS,PLAN_PASS,scripts/create_classifier_matrix_notebooks.py,
