epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7536752820014954,0.8472540378570557,9.999999747378752e-06,0.15155145525932312,0.6957364082336426,0.791911780834198,0.5469107627868652,0.6250564455986023,0.2180321216583252,0.2065727710723877,0.6027397513389587
1,0.8226069808006287,0.9055863618850708,9.999999747378752e-06,0.1238432303071022,0.7630392909049988,0.8713235259056091,0.4759725332260132,0.6213683485984802,0.2755624055862427,0.19767442345619202,0.698630154132843
2,0.8428618311882019,0.9314071536064148,9.999999747378752e-06,0.11321868002414703,0.7874427437782288,0.8852941393852234,0.5995423197746277,0.6133900880813599,0.250423789024353,0.22282609343528748,0.5616438388824463
3,0.8621365427970886,0.9464415311813354,9.999999747378752e-06,0.10491076856851578,0.8037564754486084,0.9125000238418579,0.7551487684249878,0.6228360533714294,0.2479683756828308,0.2702702581882477,0.27397260069847107
4,0.9055864214897156,0.9753972887992859,4.999999873689376e-06,0.08700059354305267,0.8493150472640991,0.9573529362678528,0.6498855948448181,0.6231558918952942,0.216757670044899,0.22602739930152893,0.45205479860305786
5,0.9313949942588806,0.9869579672813416,4.999999873689376e-06,0.07956881076097488,0.8853887319564819,0.971323549747467,0.7185354828834534,0.6421233415603638,0.22795967757701874,0.26851850748062134,0.39726027846336365
6,0.934661865234375,0.9894248843193054,4.999999873689376e-06,0.07735791057348251,0.8851261734962463,0.9801470637321472,0.7551487684249878,0.6220457553863525,0.24817951023578644,0.24242424964904785,0.21917808055877686
7,0.9506697058677673,0.9917911291122437,4.999999873689376e-06,0.07558964192867279,0.9137576818466187,0.9816176295280457,0.6613272428512573,0.6490854620933533,0.22275736927986145,0.251655638217926,0.5205479264259338
8,0.9477295279502869,0.9923055768013,4.999999873689376e-06,0.07521554827690125,0.9120879173278809,0.9764705896377563,0.6521739363670349,0.619862973690033,0.2310376614332199,0.2237762212753296,0.4383561611175537
9,0.96047043800354,0.9955662488937378,4.999999873689376e-06,0.07140360027551651,0.9293139576911926,0.9860293865203857,0.782608687877655,0.6360266208648682,0.2871430218219757,0.3035714328289032,0.232876718044281
10,0.9555701017379761,0.9947779178619385,4.999999873689376e-06,0.07230652123689651,0.9220689535140991,0.9830882549285889,0.6659038662910461,0.6464887261390686,0.23641252517700195,0.22962963581085205,0.42465752363204956
11,0.9650440812110901,0.9972533583641052,2.499999936844688e-06,0.06945448368787766,0.9329647421836853,0.9926470518112183,0.739130437374115,0.6336180567741394,0.25376278162002563,0.2795698940753937,0.3561643958091736
12,0.965370774269104,0.9966098070144653,2.499999936844688e-06,0.06987304240465164,0.9378491640090942,0.987500011920929,0.7711670398712158,0.6421420574188232,0.25992655754089355,0.29230770468711853,0.2602739632129669
