epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5824893712997437,0.6051949262619019,0.8072428107261658,0.5274431109428406,0.5794117450714111,0.6018306612968445,0.6023069620132446,0.7015507817268372,0.2209944725036621,0.5479452013969421
1,0.6305128931999207,0.6907249689102173,0.6887291669845581,0.5741100311279297,0.6522058844566345,0.6659038662910461,0.6222151517868042,0.6221050024032593,0.23357664048671722,0.4383561611175537
2,0.6671022772789001,0.7362976670265198,0.6520923972129822,0.6131386756896973,0.679411768913269,0.7482837438583374,0.6128067374229431,0.5698386430740356,0.25974026322364807,0.27397260069847107
3,0.7059784531593323,0.7749518156051636,0.6089463233947754,0.6560379862785339,0.7110294103622437,0.6979405283927917,0.6192796230316162,0.6433270573616028,0.2639999985694885,0.45205479860305786
4,0.7210062146186829,0.7994908690452576,0.5818766951560974,0.6700268983840942,0.7330882549285889,0.52173912525177,0.6334298849105835,0.8778116703033447,0.22131147980690002,0.7397260069847107
5,0.737667441368103,0.8129819631576538,0.5690968036651611,0.689069926738739,0.7463235259056091,0.782608687877655,0.6498381495475769,0.5379523634910583,0.3103448152542114,0.24657534062862396
6,0.7494282722473145,0.8332324028015137,0.5469019412994385,0.69753497838974,0.7698529362678528,0.6590389013290405,0.6288197636604309,0.6890724301338196,0.25641027092933655,0.5479452013969421
7,0.7660894989967346,0.8477416038513184,0.5339223742485046,0.7135278582572937,0.7911764979362488,0.6338672637939453,0.6120163202285767,0.708294689655304,0.21568627655506134,0.45205479860305786
8,0.7719699740409851,0.858051061630249,0.5186651349067688,0.7242547273635864,0.7860293984413147,0.7208238244056702,0.6251506209373474,0.6413772702217102,0.2666666805744171,0.3835616409778595
9,0.7879778146743774,0.8702050447463989,0.5047878623008728,0.7346534729003906,0.8183823823928833,0.5812357068061829,0.5915813446044922,0.8225871324539185,0.19780220091342926,0.4931506812572479
10,0.7899379134178162,0.8729173541069031,0.5017939805984497,0.7430508732795715,0.8058823347091675,0.5881006717681885,0.6409943103790283,0.8674174547195435,0.23383083939552307,0.6438356041908264
11,0.7866710424423218,0.8837517499923706,0.4874788820743561,0.7386900782585144,0.804411768913269,0.7894737124443054,0.6531498432159424,0.5892709493637085,0.3333333432674408,0.2602739632129669
12,0.8069258332252502,0.8901309967041016,0.4814924895763397,0.7578806281089783,0.8308823704719543,0.739130437374115,0.6320939660072327,0.6444377899169922,0.28421053290367126,0.36986300349235535
13,0.8206468224525452,0.9043828248977661,0.4571482837200165,0.7756628394126892,0.8389706015586853,0.695652186870575,0.622327983379364,0.732502281665802,0.2540983557701111,0.42465752363204956
14,0.8121528625488281,0.8971657752990723,0.47385287284851074,0.7668253183364868,0.8294117450714111,0.752860426902771,0.617247462272644,0.6643055081367493,0.27848100662231445,0.30136987566947937
15,0.8199934959411621,0.9048397541046143,0.46146661043167114,0.7780068516731262,0.8323529362678528,0.7414187788963318,0.6326771974563599,0.6555629968643188,0.261904776096344,0.30136987566947937
16,0.8369813561439514,0.9186223149299622,0.4344314634799957,0.7946611642837524,0.8536764979362488,0.464530885219574,0.6230806112289429,1.2308763265609741,0.19850187003612518,0.7260273694992065
17,0.82522052526474,0.9158823490142822,0.44113802909851074,0.7831159830093384,0.8389706015586853,0.7643020749092102,0.6063524484634399,0.6805338263511658,0.2222222238779068,0.16438356041908264
18,0.8431885242462158,0.920570969581604,0.43404147028923035,0.8042876720428467,0.8551470637321472,0.6201372742652893,0.6100029349327087,0.9189352989196777,0.2215568870306015,0.5068492889404297
