class,FID_delta_pct,IS_mean_delta_pct,precision_delta_pct,recall_delta_pct,density_delta_pct,coverage_delta_pct
positive,12.18,-13.37,10.75,-75.0,28.65,-4.23
negative,4.62,-9.79,10.81,-66.67,5.57,-6.25
