pipeline,class,FID,IS_mean,precision,recall,density,coverage
02,positive,113.003,2.4152,0.615,0.274,0.3483,0.9726
02,negative,114.235,2.3851,0.4688,0.2055,0.2153,0.8767
03,positive,99.2377,2.0923,0.6811,0.0685,0.4481,0.9315
03,negative,108.9628,2.1516,0.5195,0.0685,0.2273,0.8219
