epoch,loss,auc,val_loss,val_auc
1,0.6703454656341687,0.640793091478205,0.8179640572185647,0.4948441968989914
2,0.6207445852463951,0.7148199475144966,0.9351086070935841,0.5241984043353907
3,0.6009000674229523,0.7393710377412986,1.4385853119245655,0.5308595514074965
4,0.564319196034669,0.7772362349722322,1.1558235694123624,0.4988709920216769
5,0.544668739679366,0.797575582202005,1.369078034121603,0.521037181996086
6,0.5194327537405588,0.8194076512656284,1.411456146829461,0.5239349691404486
7,0.5040164895569201,0.8327708858237852,1.5960517757544528,0.5082793918410358
8,0.47740663950448525,0.8512633609401394,1.2343191404910054,0.4961613728737016
9,0.45436820030913116,0.8681918522761445,1.2807408163422032,0.49747854884841186
10,0.41925574762474344,0.8904244998572062,1.4612460135049623,0.5064353454764414
