epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6565409302711487,0.6576676368713379,9.999999747378752e-06,0.11301500350236893,0.25965380668640137,0.5735294222831726,0.6773455142974854,0.6179813742637634,0.1137559711933136,0.2702702581882477,0.5479452013969421
1,0.6638902425765991,0.6716188192367554,9.999999747378752e-06,0.10823329538106918,0.2603878080844879,0.5529412031173706,0.8077803254127502,0.6168147325515747,0.13240662217140198,0.3103448152542114,0.12328767031431198
2,0.6761391758918762,0.6927222609519958,9.999999747378752e-06,0.10370593518018723,0.2697274088859558,0.5529412031173706,0.7299771308898926,0.5800465941429138,0.126079723238945,0.22891566157341003,0.2602739632129669
3,0.6918177604675293,0.7498754858970642,9.999999747378752e-06,0.09718360006809235,0.30123797059059143,0.6441176533699036,0.7986270189285278,0.6739989519119263,0.1142122745513916,0.3529411852359772,0.24657534062862396
4,0.7153356075286865,0.7644577622413635,9.999999747378752e-06,0.09608504921197891,0.3290780186653137,0.6823529601097107,0.7848970293998718,0.6721737384796143,0.10612192004919052,0.29411765933036804,0.2054794579744339
5,0.7217050194740295,0.7857825756072998,9.999999747378752e-06,0.09147436171770096,0.33714285492897034,0.6941176652908325,0.6842105388641357,0.6274085640907288,0.10909191519021988,0.23999999463558197,0.4109589159488678
6,0.7486526370048523,0.8213438391685486,9.999999747378752e-06,0.08792039752006531,0.37335285544395447,0.75,0.7917619943618774,0.6539778113365173,0.11341208219528198,0.3392857015132904,0.2602739632129669
7,0.7942185401916504,0.8921041488647461,4.999999873689376e-06,0.0756961777806282,0.4369085133075714,0.8147059082984924,0.6842105388641357,0.6337121725082397,0.11107179522514343,0.24806201457977295,0.4383561611175537
8,0.7942185401916504,0.8952502012252808,4.999999873689376e-06,0.0754709243774414,0.4378882050514221,0.8294117450714111,0.7459954023361206,0.6619750261306763,0.10836522281169891,0.3020833432674408,0.39726027846336365
