epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6271435618400574,0.6296685934066772,9.999999747378752e-06,0.11855773627758026,0.23915737867355347,0.5676470398902893,0.6933638453483582,0.6490290760993958,0.10447481274604797,0.23931623995304108,0.3835616409778595
1,0.6232239007949829,0.623826801776886,9.999999747378752e-06,0.11624752730131149,0.2260536402463913,0.520588219165802,0.7620137333869934,0.6242661476135254,0.1057356595993042,0.3037974536418915,0.3287671208381653
2,0.6433120965957642,0.6339299082756042,9.999999747378752e-06,0.11427320539951324,0.2427055686712265,0.5382353067398071,0.6979405283927917,0.6128442883491516,0.10476189851760864,0.2521008551120758,0.4109589159488678
3,0.638902485370636,0.6148320436477661,9.999999747378752e-06,0.11727782338857651,0.22468793392181396,0.47647058963775635,0.5469107627868652,0.6539214253425598,0.10959383100271225,0.21461187303066254,0.6438356041908264
4,0.6629103422164917,0.6573251485824585,9.999999747378752e-06,0.1107107549905777,0.2549295723438263,0.5323529243469238,0.6659038662910461,0.644776463508606,0.1015973836183548,0.22962963581085205,0.42465752363204956
5,0.6599705815315247,0.6424516439437866,9.999999747378752e-06,0.11008550226688385,0.25070422887802124,0.5235294103622437,0.7482837438583374,0.6510800719261169,0.1011999323964119,0.27710843086242676,0.31506848335266113
6,0.6883880496025085,0.6948783993721008,9.999999747378752e-06,0.10583557188510895,0.27910447120666504,0.550000011920929,0.7734553813934326,0.659284234046936,0.10377195477485657,0.29032257199287415,0.24657534062862396
7,0.6888779997825623,0.6696112751960754,9.999999747378752e-06,0.1079651489853859,0.27549466490745544,0.5323529243469238,0.535469114780426,0.633768618106842,0.10570835322141647,0.2098214328289032,0.6438356041908264
8,0.6780989766120911,0.6720908284187317,9.999999747378752e-06,0.10684765130281448,0.2623688280582428,0.5147058963775635,0.7574370503425598,0.6104922294616699,0.10648497939109802,0.2800000011920929,0.2876712381839752
9,0.7070063948631287,0.7002506852149963,9.999999747378752e-06,0.10369659960269928,0.2984375059604645,0.5617647171020508,0.7551487684249878,0.6288573741912842,0.1069888174533844,0.2702702581882477,0.27397260069847107
10,0.6972072720527649,0.7093673348426819,4.999999873689376e-06,0.10329673439264297,0.29437869787216187,0.5852941274642944,0.711670458316803,0.6173039674758911,0.10458317399024963,0.2210526317358017,0.2876712381839752
11,0.6996570229530334,0.6931217312812805,4.999999873689376e-06,0.10524363815784454,0.2896764278411865,0.5529412031173706,0.6796338558197021,0.6480317711830139,0.1034235954284668,0.2442748099565506,0.4383561611175537
