seed,threshold,tp,tn,fp,fn,sensitivity_recall,specificity,precision_ppv,npv,f1,accuracy,balanced_accuracy,mcc,roc_auc,pr_auc,brier_score,ece,sensitivity_at_specificity_0_90
17,0.5123857259750366,34,325,39,39,0.4657534246575342,0.8928571428571429,0.4657534246575342,0.8928571428571429,0.4657534246575342,0.8215102974828375,0.6793052837573386,0.3586105675146771,0.7546289327111245,0.5161967693463896,0.14614194130875108,0.17327481567927847,"{'target_specificity': 0.9, 'sensitivity': 0.4383561643835616, 'achieved_specificity': 0.9065934065934066, 'threshold': 0.5350223779678345}"
42,0.179005429148674,53,256,108,20,0.726027397260274,0.7032967032967034,0.32919254658385094,0.927536231884058,0.452991452991453,0.7070938215102975,0.7146620502784886,0.3319937528069263,0.7253876260725576,0.48151179352933354,0.13121519538987236,0.08158486005072256,"{'target_specificity': 0.9, 'sensitivity': 0.3835616438356164, 'achieved_specificity': 0.9203296703296703, 'threshold': 0.5317052602767944}"
73,0.1992979198694229,41,302,62,32,0.5616438356164384,0.8296703296703297,0.39805825242718446,0.9041916167664671,0.4659090909090909,0.7848970251716247,0.6956570826433841,0.3439108245919988,0.7410808369712479,0.4785176463603837,0.13506912135808172,0.09776482924934077,"{'target_specificity': 0.9, 'sensitivity': 0.3972602739726027, 'achieved_specificity': 0.9038461538461539, 'threshold': 0.47243762016296387}"
