epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.06788425965475565,0.683983698925715,0.6734993500928979,0.05836710647532815,0.713834111094385,0.32665516069256084,5e-05,250
2,0.054073460057120576,0.8338167501186002,0.8352289591530384,0.05126053739330588,0.7469140448592504,0.3767833611497872,5e-05,500
3,0.048765500502282004,0.8667750909371653,0.8710151380920759,0.050901006165576475,0.7445807617040494,0.3869980035778796,5e-05,750
4,0.043409709811904056,0.9016587010813757,0.8988421955254053,0.05442002775399036,0.7174845702242961,0.3459420646194794,5e-05,1000
5,0.03667769866744101,0.9343629328964593,0.9308250001162626,0.05784072010464608,0.7029580009032065,0.3672819535656039,5e-05,1250
6,0.030016766153210726,0.958165223331283,0.9531987212571273,0.07644642297033587,0.665700737618546,0.31571691166889043,5e-05,1500
7,0.023284707840999008,0.9758996977889756,0.9727479874784752,0.0772395663057162,0.6933614330874603,0.35620163455429865,5e-05,1750
8,0.0197483178071502,0.9834201464093534,0.981499906089275,0.08093857004795249,0.6840283004666566,0.34406520255120054,2.5e-05,2000
9,0.01617890404102066,0.9899745974339103,0.9885430899573547,0.11760776999110284,0.663555622459732,0.327583123041759,2.5e-05,2250
10,0.015540922025250295,0.989912884346425,0.9885564585782985,0.11480907027266528,0.6515128706909529,0.3111488407773578,2.5e-05,2500
11,0.012639051637280716,0.9938551084853426,0.9929241489349228,0.12352379355196004,0.6519268402830047,0.32586825375978135,2.5e-05,2750
12,0.013095061389625927,0.9928413895438652,0.9914768785774848,0.12281288904110205,0.6600180641276532,0.3179189476547055,1.25e-05,3000
13,0.012134412494922616,0.993988501726262,0.9929179573748583,0.13027951251758046,0.6602814993225952,0.33248675946305145,1.25e-05,3250
