epoch,phase,loss,auc,val_loss,val_auc
1,head_training,1.1580451984489624,0.5618010167029774,1.087342059312205,0.68207135330423
2,head_training,1.0999540113339759,0.6516659750319881,1.0618162706187442,0.7003612825530634
3,head_training,1.0828784076329951,0.6637021475256769,1.1142959226459879,0.7072858648201114
4,head_training,1.077587498863908,0.6801336584016323,1.043638191179498,0.7123287671232876
5,head_training,1.066069482676484,0.6858214890894629,1.0364725442445524,0.7144738822821015
6,head_training,1.0431628801961672,0.7053636269322544,1.0425091995527325,0.7076245672136083
7,head_training,1.049302754245629,0.7076546668049936,1.042177612776069,0.7130814391088364
8,head_training,1.0533431452433892,0.7025166856866203,1.054202816306317,0.7076245672136083
9,head_training,1.0228065578800858,0.7216663208493275,1.0824323911688694,0.7098073159716994
10,head_training,1.0244400877978275,0.720513884566172,1.0336186258416427,0.7271187716393195
11,head_training,1.0183406085257785,0.7250190199536605,1.0220642755451683,0.7258392292638868
12,head_training,1.0263726550361094,0.7231844589687727,1.0150094397826381,0.7312584675598374
13,head_training,1.0209842340318904,0.722463429816371,1.033318083128067,0.7289628180039139
14,head_training,1.0020546601544054,0.7388145381609433,1.0132042919743798,0.742548547343068
15,head_training,1.0013774733284067,0.7405047204066812,1.0355123376955429,0.7272316724371519
16,head_training,0.9982599178872116,0.7444150499706055,1.0180979937110395,0.7309573987656179
17,head_training,1.000651880609586,0.7440277345506104,1.032123331074311,0.7204952581664911
18,head_training,0.9898893836080765,0.7515751979804267,1.018681676218657,0.7299036579858498
19,head_training,0.9809302891778455,0.7537270463741053,1.0452876445630594,0.7158663254553665
20,head_training,0.9812181141375327,0.7531114915101842,1.0309854620381405,0.733215414722264
21,head_training,0.9663117920166718,0.7676167998063423,1.0222085351529329,0.7231296101159115
1,fine_tuning,0.058712401906907234,0.7345981602517551,0.06253204128579226,0.727156405238597
2,fine_tuning,0.05197311035781325,0.7600459937061245,0.059347179690610354,0.7269682372422098
3,fine_tuning,0.049377742346188185,0.7692724003181519,0.057461256267890774,0.727081138040042
4,fine_tuning,0.04815476632502253,0.7777129370266626,0.05650643008660943,0.7204199909679362
5,fine_tuning,0.048322996217711835,0.7670384203063941,0.05525180971936176,0.7189522805961162
6,fine_tuning,0.04565055526716343,0.7903162499567729,0.05495992536471146,0.7197802197802197
