epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.06803219252253641,0.6763865876931799,0.6716087331487033,0.061231378551137805,0.7295273219930754,0.35698009447410495,5e-05,250
2,0.054065493290345906,0.8306410922782419,0.8385017810597137,0.04972766792440032,0.749059160018064,0.39723178750210447,5e-05,500
3,0.04860472141827737,0.8703114079563679,0.8686557471884164,0.04946066197476753,0.7323122083396055,0.3775918462260923,5e-05,750
4,0.04227712785665291,0.9089253473664587,0.9107874214541971,0.054309733702163944,0.7196673189823873,0.3580762637574404,5e-05,1000
5,0.03640690598378696,0.9353087209479423,0.9338263121897804,0.0628931077380475,0.699721511365347,0.3304006335470838,5e-05,1250
6,0.030208191598821706,0.9578532973540852,0.953000066623569,0.06600727683926338,0.6917431883185309,0.3705761395424299,5e-05,1500
7,0.02531258047208626,0.9723996849595612,0.9695977327801951,0.07217764491279284,0.6711199759144965,0.3312419865301815,2.5e-05,1750
8,0.02198347312225598,0.9794327777397754,0.9774936443646198,0.0810792428149375,0.6689372271564052,0.30884643238600107,2.5e-05,2000
9,0.018745022324469125,0.9860059695452015,0.9838816938545502,0.10285315905576167,0.6576847809724522,0.3105995392578443,2.5e-05,2250
10,0.01711712444859585,0.9878156959511628,0.985609381982692,0.1064254637824657,0.6729263886798134,0.30642451902340506,2.5e-05,2500
11,0.015054750108864454,0.9910312322003012,0.9894990780393099,0.1042978999245426,0.667883486376637,0.3160255477322785,1.25e-05,2750
12,0.014834420423181614,0.9909121334668678,0.9894726645624481,0.10905088376876146,0.6653244016257716,0.3212066515878014,1.25e-05,3000
