epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7158730030059814,0.7932526469230652,9.999999747378752e-06,0.11164423078298569,0.6557376980781555,0.7760140895843506,0.739130437374115,0.6484456658363342,0.09819269180297852,0.2266666740179062,0.232876718044281
1,0.7103174328804016,0.7909316420555115,9.999999747378752e-06,0.10627630352973938,0.6458132863044739,0.7889477014541626,0.752860426902771,0.6458489894866943,0.10923442244529724,0.27272728085517883,0.2876712381839752
2,0.7587301731109619,0.8381975889205933,9.999999747378752e-06,0.09281996637582779,0.6867013573646545,0.8530276417732239,0.739130437374115,0.6323385238647461,0.11121632158756256,0.23376622796058655,0.24657534062862396
3,0.770370364189148,0.8575401306152344,9.999999747378752e-06,0.08690495043992996,0.6923787593841553,0.8812463283538818,0.7208238244056702,0.6394136548042297,0.10678257793188095,0.26213592290878296,0.36986300349235535
4,0.7933862209320068,0.8844196200370789,4.999999873689376e-06,0.07960237562656403,0.7115915417671204,0.9094650149345398,0.7620137333869934,0.673321545124054,0.10656895488500595,0.3086419701576233,0.34246575832366943
5,0.8076719641685486,0.9081175923347473,4.999999873689376e-06,0.07356979697942734,0.7263011336326599,0.9188712239265442,0.7208238244056702,0.6366099715232849,0.11133983731269836,0.24210526049137115,0.31506848335266113
6,0.820899486541748,0.9181972146034241,4.999999873689376e-06,0.07051301747560501,0.7383612394332886,0.9323927164077759,0.6910755038261414,0.6596605777740479,0.11245556175708771,0.28169015049934387,0.5479452013969421
7,0.8317460417747498,0.9261829853057861,4.999999873689376e-06,0.06832055747509003,0.7480204701423645,0.9441505074501038,0.739130437374115,0.6589642763137817,0.11427666246891022,0.26966291666030884,0.3287671208381653
8,0.8576719760894775,0.9438930153846741,2.499999936844688e-06,0.06254541128873825,0.7773008942604065,0.9582598209381104,0.7505720853805542,0.659848690032959,0.11909861862659454,0.30000001192092896,0.36986300349235535
9,0.8711640238761902,0.9552539587020874,2.499999936844688e-06,0.05900701880455017,0.7923892140388489,0.9670782089233398,0.766590416431427,0.6840094923973083,0.12158969044685364,0.30666667222976685,0.31506848335266113
10,0.8857142925262451,0.9599287509918213,2.499999936844688e-06,0.057809978723526,0.8152011632919312,0.9647266268730164,0.709382176399231,0.6704990863800049,0.11828622967004776,0.2857142984867096,0.4931506812572479
11,0.8846560716629028,0.9639005064964294,2.499999936844688e-06,0.05621902272105217,0.811729907989502,0.9682539701461792,0.7459954023361206,0.6716279983520508,0.12724235653877258,0.28409090638160706,0.34246575832366943
12,0.8973544836044312,0.9698868989944458,2.499999936844688e-06,0.05389725789427757,0.8271051049232483,0.9758965373039246,0.7322654724121094,0.6734532713890076,0.12366155534982681,0.2924528419971466,0.42465752363204956
13,0.908994734287262,0.9767969250679016,1.249999968422344e-06,0.05115184187889099,0.8431967496871948,0.9800117611885071,0.7482837438583374,0.6793429255485535,0.13175815343856812,0.25974026322364807,0.27397260069847107
14,0.9150793552398682,0.9799589514732361,1.249999968422344e-06,0.04962734133005142,0.8538461327552795,0.9788359999656677,0.7299771308898926,0.6658324599266052,0.12919938564300537,0.28155338764190674,0.39726027846336365
