epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7150793671607971,0.7854602932929993,9.999999747378752e-06,0.1814965158700943,0.6636936068534851,0.7436801791191101,0.7917619943618774,0.5535337924957275,0.29483962059020996,0.1538461595773697,0.054794520139694214
1,0.8042327761650085,0.8891322612762451,9.999999747378752e-06,0.08879639208316803,0.7391737103462219,0.8730158805847168,0.8329519629478455,0.5027660131454468,1.2216356992721558,0.5,0.013698630034923553
2,0.8518518805503845,0.9356867671012878,9.999999747378752e-06,0.07112988084554672,0.7834078669548035,0.927101731300354,0.8329519629478455,0.5130965113639832,1.1638684272766113,0.5,0.013698630034923553
3,0.8894180059432983,0.9634027481079102,9.999999747378752e-06,0.05939168483018875,0.8264631032943726,0.9547325372695923,0.823798656463623,0.5747026801109314,0.31065234541893005,0.30000001192092896,0.04109589010477066
4,0.9153439402580261,0.9790285229682922,9.999999747378752e-06,0.05272016301751137,0.8655373454093933,0.9611992835998535,0.8215103149414062,0.5458565354347229,0.3831009566783905,0.27272728085517883,0.04109589010477066
5,0.9362434148788452,0.9879604578018188,9.999999747378752e-06,0.04784750938415527,0.89673912525177,0.9700176119804382,0.8054919838905334,0.6088363528251648,0.28704190254211426,0.1666666716337204,0.04109589010477066
6,0.9457672238349915,0.9908692240715027,9.999999747378752e-06,0.04573184251785278,0.910988986492157,0.9747207760810852,0.7940503358840942,0.5801407098770142,0.26163530349731445,0.302325576543808,0.1780821979045868
7,0.9486772418022156,0.9923128485679626,9.999999747378752e-06,0.0441746860742569,0.9128767251968384,0.9794238805770874,0.7848970293998718,0.6319810152053833,0.24017342925071716,0.30188679695129395,0.21917808055877686
8,0.9634920358657837,0.9944590926170349,9.999999747378752e-06,0.042741745710372925,0.9378151297569275,0.9841269850730896,0.7322654724121094,0.6065407395362854,0.20672543346881866,0.25,0.30136987566947937
9,0.9708994626998901,0.9965879321098328,9.999999747378752e-06,0.03960202634334564,0.9471613168716431,0.9905937910079956,0.7505720853805542,0.5839041471481323,0.2346629500389099,0.20967741310596466,0.1780821979045868
10,0.9711640477180481,0.9975956678390503,9.999999747378752e-06,0.038657546043395996,0.9481981992721558,0.9900058507919312,0.7368420958518982,0.5749660730361938,0.23876972496509552,0.2083333283662796,0.2054794579744339
11,0.9806878566741943,0.9987416863441467,4.999999873689376e-06,0.03668820858001709,0.9667431116104126,0.9911816716194153,0.709382176399231,0.5729526877403259,0.23642531037330627,0.1931818127632141,0.232876718044281
12,0.9838624596595764,0.9992935061454773,4.999999873689376e-06,0.03537009283900261,0.9691075682640076,0.9958847761154175,0.768878698348999,0.586877167224884,0.2428325116634369,0.2666666805744171,0.21917808055877686
