epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6944444179534912,0.7456956505775452,0.6891173720359802,0.6493435502052307,0.6978248357772827,0.766590416431427,0.6143497228622437,0.5283796787261963,0.20408163964748383,0.13698630034923553
1,0.720370352268219,0.7805080413818359,0.6210432052612305,0.6751904487609863,0.7295708656311035,0.7871853709220886,0.6188845038414001,0.5358848571777344,0.27272728085517883,0.16438356041908264
2,0.7293650507926941,0.7954859137535095,0.5922574400901794,0.6842391490936279,0.7401528358459473,0.739130437374115,0.6412012577056885,0.5737323760986328,0.2530120611190796,0.2876712381839752
3,0.7465608716011047,0.8049712181091309,0.5783662796020508,0.7013550400733948,0.7607289552688599,0.7871853709220886,0.6271451115608215,0.5120985507965088,0.261904776096344,0.15068493783473969
4,0.7537037134170532,0.8116007447242737,0.5685012340545654,0.7058823704719543,0.7760140895843506,0.8260869383811951,0.6285939812660217,0.5149250626564026,0.20000000298023224,0.013698630034923553
5,0.7582010626792908,0.8133087158203125,0.5656828880310059,0.7142079472541809,0.7713109850883484,0.7894737124443054,0.64334636926651,0.4922245740890503,0.08695652335882187,0.027397260069847107
6,0.7626984119415283,0.8251720070838928,0.5509306788444519,0.7152034044265747,0.7854203581809998,0.796338677406311,0.6417092680931091,0.5106812119483948,0.30000001192092896,0.16438356041908264
7,0.7656084895133972,0.8291513919830322,0.5463908314704895,0.71991366147995,0.7842445373535156,0.7437071204185486,0.6065595149993896,0.5490506291389465,0.21739129722118378,0.2054794579744339
8,0.7719576954841614,0.8325211405754089,0.5403403043746948,0.7283614873886108,0.7865961194038391,0.8306636214256287,0.6299299597740173,0.5434437394142151,0.3333333432674408,0.013698630034923553
9,0.7714285850524902,0.8356208205223083,0.538981020450592,0.7305785417556763,0.7795414328575134,0.7551487684249878,0.616588830947876,0.5563679933547974,0.2763157784938812,0.2876712381839752
10,0.7714285850524902,0.8349544405937195,0.5388529896736145,0.7288135886192322,0.783656656742096,0.7940503358840942,0.6339004039764404,0.5053344964981079,0.2702702581882477,0.13698630034923553
11,0.7695767283439636,0.8334981799125671,0.5411606431007385,0.7275219559669495,0.7801293134689331,0.7711670398712158,0.6022881269454956,0.543890118598938,0.2545454502105713,0.19178082048892975
12,0.770370364189148,0.8421398401260376,0.5315117835998535,0.7294765710830688,0.7783656716346741,0.7276887893676758,0.6285939812660217,0.5800260901451111,0.23255814611911774,0.27397260069847107
