checkpoint_id,checkpoint_kind,checkpoint_path,checkpoint_order,step,existing_before_0,generated_now_0,images_used_0,fid_0,is_mean_0,is_std_0,is_splits_0,precision_0,recall_0,density_0,coverage_0,real_reference_0,existing_before_1,generated_now_1,images_used_1,fid_1,is_mean_1,is_std_1,is_splits_1,precision_1,recall_1,density_1,coverage_1,real_reference_1,fid_mean,is_mean_avg,precision_mean,recall_mean,density_mean,coverage_mean
step_75000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step075000.keras,14,75000,100,0,100,110.5736,2.1769,0.3464,10,0.33,0.1703,0.1733,0.1044,364,100,0,100,114.4976,1.9956,0.2831,10,0.62,0.0822,0.3933,0.3699,73,112.5356,2.08625,0.475,0.12625,0.2833,0.23715
step_80000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step080000.keras,15,80000,100,0,100,106.4936,1.8798,0.2368,10,0.5,0.1154,0.36,0.1758,364,100,0,100,142.5185,1.9025,0.1816,10,0.39,0.0685,0.19,0.2192,73,124.50605,1.89115,0.445,0.09195,0.275,0.1975
step_85000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step085000.keras,16,85000,100,0,100,126.9417,2.2055,0.2807,10,0.37,0.1374,0.3233,0.1786,364,100,0,100,158.7337,2.2966,0.3018,10,0.41,0.4658,0.2067,0.3288,73,142.8377,2.25105,0.39,0.3016,0.265,0.2537
step_90000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step090000.keras,17,90000,100,0,100,106.4093,1.9127,0.2217,10,0.46,0.0989,0.3133,0.1621,364,100,0,100,133.498,1.9721,0.2669,10,0.52,0.2466,0.32,0.3288,73,119.95365,1.9424,0.49,0.17275,0.31665,0.24545
step_95000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step095000.keras,18,95000,100,0,100,104.2894,2.0651,0.3029,10,0.46,0.1593,0.49,0.2088,364,100,0,100,133.6108,2.0588,0.3965,10,0.53,0.2877,0.2567,0.3562,73,118.9501,2.06195,0.495,0.2235,0.37335,0.2825
step_100000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step100000.keras,19,100000,100,0,100,126.098,2.1424,0.2896,10,0.31,0.2473,0.2267,0.1181,364,100,0,100,166.8179,2.1227,0.2155,10,0.42,0.0685,0.1733,0.1644,73,146.45795,2.13255,0.365,0.1579,0.2,0.14125
step_105000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step105000.keras,20,105000,100,0,100,110.6231,1.7906,0.1643,10,0.51,0.1154,0.3567,0.1566,364,100,0,100,128.3181,1.721,0.2345,10,0.41,0.2466,0.23,0.274,73,119.4706,1.7558,0.46,0.181,0.29335,0.2153
step_110000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step110000.keras,21,110000,100,0,100,104.4268,2.0318,0.1617,10,0.46,0.1126,0.3333,0.1731,364,100,0,100,130.95,1.9566,0.1729,10,0.53,0.3151,0.2467,0.2877,73,117.6884,1.9942,0.495,0.21385,0.29,0.2304
step_115000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step115000.keras,22,115000,100,0,100,120.5003,1.8474,0.1733,10,0.4,0.1758,0.2633,0.1236,364,100,0,100,121.4195,1.8357,0.2157,10,0.4,0.3151,0.2233,0.3014,73,120.9599,1.84155,0.4,0.24545,0.2433,0.2125
step_120000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step120000.keras,23,120000,100,0,100,121.367,1.8715,0.1905,10,0.28,0.1099,0.1767,0.0907,364,100,0,100,135.4286,2.1293,0.2173,10,0.46,0.3699,0.1967,0.2329,73,128.3978,2.0004,0.37,0.2399,0.1867,0.1618
step_125000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step125000.keras,24,125000,100,0,100,103.5874,1.999,0.2081,10,0.5,0.0989,0.3767,0.1731,364,100,0,100,122.5793,1.942,0.2267,10,0.49,0.1096,0.2533,0.3151,73,113.08335,1.9705,0.495,0.10425,0.315,0.2441
step_130000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step130000.keras,25,130000,100,0,100,121.2965,2.2244,0.2947,10,0.37,0.1291,0.24,0.1319,364,100,0,100,150.2307,2.2202,0.2087,10,0.36,0.0959,0.1467,0.1781,73,135.7636,2.2223,0.365,0.1125,0.19335,0.155
step_135000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step135000.keras,26,135000,100,0,100,105.4943,1.9117,0.2706,10,0.39,0.1181,0.2967,0.1429,364,100,0,100,121.2461,1.9121,0.2022,10,0.47,0.2877,0.2833,0.411,73,113.3702,1.9119,0.43,0.2029,0.29,0.27695
step_140000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step140000.keras,27,140000,100,0,100,113.895,1.919,0.2835,10,0.33,0.1978,0.27,0.1456,364,100,0,100,121.7062,1.7945,0.2266,10,0.34,0.3562,0.2267,0.411,73,117.8006,1.85675,0.335,0.277,0.24835,0.2783
step_145000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step145000.keras,28,145000,100,0,100,123.0499,2.1668,0.2904,10,0.3,0.1071,0.1633,0.0907,364,100,0,100,132.0715,2.1269,0.2573,10,0.39,0.3151,0.1967,0.274,73,127.5607,2.14685,0.345,0.2111,0.18,0.18235
step_150000,step,/mnt/MammoDiffusion/MammoDiffusion/experiments/diffusers/08_ldm_v3_sdvae_fromscratch/checkpoints_ldm/ldm_step150000.keras,29,150000,100,0,100,114.1302,1.9501,0.2312,10,0.36,0.228,0.1833,0.1181,364,100,0,100,118.6618,1.7714,0.2763,10,0.38,0.3151,0.23,0.3014,73,116.396,1.86075,0.37,0.27155,0.20665,0.20975
