metric,mean_fromscratch,std_fromscratch,mean_finetuned,std_finetuned,delta_mean_finetuned_minus_fromscratch,std_combined_approx,delta_over_std_combined
Accuracy,0.5494794520547944,0.038991691884672997,0.5804657534246576,0.03821187144768785,0.030986301369863134,0.05459394797561261,0.567577589070951
F1,0.4934733397621949,0.048844354530867024,0.5786373997828788,0.04214266032474439,0.08516406002068388,0.06451181898523568,1.320131122642422
Precision,0.5639803275362667,0.050345360339695715,0.5814577976928337,0.039512747443726584,0.017477470156566977,0.06399931654545639,0.2730883875010347
ROC_AUC,0.593720585475699,0.04590180548220288,0.617486770501032,0.044351431241886764,0.02376618502533301,0.06382809099236636,0.3723467936425573
Recall,0.4406164383561643,0.055040160025318655,0.5777671232876712,0.055515244669301765,0.1371506849315069,0.07817519815328339,1.7544015003657079
