split,roc_auc__From-Scratch SD-VAE,roc_auc__Fine-Tuned SD2.1,delta_roc_auc__FineTuned_minus_FromScratch,accuracy__From-Scratch SD-VAE,accuracy__Fine-Tuned SD2.1,delta_accuracy__FineTuned_minus_FromScratch,precision_malato__From-Scratch SD-VAE,precision_malato__Fine-Tuned SD2.1,delta_precision_malato__FineTuned_minus_FromScratch,recall_malato__From-Scratch SD-VAE,recall_malato__Fine-Tuned SD2.1,delta_recall_malato__FineTuned_minus_FromScratch,f1_malato__From-Scratch SD-VAE,f1_malato__Fine-Tuned SD2.1,delta_f1_malato__FineTuned_minus_FromScratch
validation,0.6117,0.6236,0.011900000000000022,0.6522,0.6224,-0.02980000000000005,0.2452,0.2473,0.0020999999999999908,0.5205,0.6164,0.09589999999999999,0.3333,0.3529,0.019600000000000006
test,0.5938,0.6173,0.023499999999999965,0.6233,0.5845,-0.038799999999999946,0.2051,0.2176,0.012499999999999983,0.4384,0.5753,0.13690000000000002,0.2795,0.3158,0.0363
