epoch,loss,auc,pr_auc,val_loss,val_auc,val_pr_auc,learning_rate,optimizer_steps
1,0.055020440121211864,0.6054699495875966,0.2269751273388711,0.052034774799436946,0.745672136083095,0.376506795024253,0.0001,250
2,0.03879897859420524,0.8541196919948331,0.5968086980814581,0.06865023131092299,0.7283983140147523,0.4133936097535745,0.0001,500
3,0.013321084117942477,0.9849299780426543,0.9466708852418204,0.16426779916322176,0.7032967032967034,0.4104812381842008,0.0001,750
4,0.005321106870988168,0.9971874572019144,0.9912681448863467,0.17894886715100009,0.7099954839680866,0.3978968019675691,0.0001,1000
5,0.002746472297824712,0.9994892170546126,0.997531781117233,0.2517529166577564,0.7065331928345626,0.4337773565767828,0.0001,1250
6,0.0035006798417614596,0.9989444765760556,0.9959389449707691,0.16997548890485506,0.7069847960258919,0.35622139764437416,0.0001,1500
7,0.003317303175089611,0.9991951644164121,0.9961276709149972,0.18595073235976975,0.691592653921421,0.45978244402224816,0.0001,1750
8,0.0005778279491743599,0.9999696895120284,0.9998550656106188,0.2214440464979044,0.7180114406141803,0.43943640863575817,0.0001,2000
9,1.3205670238217287e-05,1.0,1.0,0.2692349732648672,0.7211350293542075,0.46648201779964255,0.0001,2250
10,2.9774314869053597e-05,1.0,0.9999999999999999,0.2526217338336106,0.7250865572783382,0.45873245701909215,0.0001,2500
11,0.0026381798085108217,0.9995676469977641,0.9981588638965361,0.17217924287308273,0.7195167845852778,0.3757581467564484,0.0001,2750
12,0.007292952319163112,0.995672187958937,0.9865097005767728,0.20621651024714824,0.721022128556375,0.40289578613632104,0.0001,3000
13,0.0022367286354424754,0.999441042726577,0.9978216919887682,0.19722072520069256,0.7642631341261477,0.5089020731768409,0.0001,3250
14,0.0007318428023617813,0.999958529454455,0.9998038958375712,0.23255882016855967,0.7194415173867228,0.42541772270373224,0.0001,3500
15,0.0022838698463766155,0.9995049347990526,0.9980858026335476,0.18717421002918322,0.6968237242209845,0.4103726639738991,0.0001,3750
16,0.000823464678646378,0.9999203497691964,0.9996574158354098,0.24996471402072296,0.7280219780219781,0.4510812977137323,0.0001,4000
17,1.2451334664019599e-05,1.0,1.0,0.25699669184398477,0.7345325906969743,0.46189499094415737,0.0001,4250
18,3.2545815201700186e-06,1.0,1.0,0.30313099684108197,0.7304305283757339,0.44946268575583326,5e-05,4500
19,1.3603809565815972e-05,1.0,0.9999999999999999,0.30962360166719993,0.7152641878669276,0.4464392135811365,5e-05,4750
20,2.7567401411740988e-06,1.0,1.0,0.3088194905791808,0.7194415173867228,0.4489829006758939,5e-05,5000
21,2.1124682502289237e-06,1.0,1.0,0.3254901838051422,0.7219253349390334,0.44942969266586036,5e-05,5250
22,1.2000205471887122e-06,1.0,1.0,0.30814127402449143,0.7183125094083999,0.44883372221158946,2.5e-05,5500
23,1.2577601604981106e-06,1.0,1.0,0.3242446100176857,0.7203823573686586,0.45587996062819963,2.5e-05,5750
