seed,threshold,tp,tn,fp,fn,sensitivity_recall,specificity,precision_ppv,npv,f1,accuracy,balanced_accuracy,mcc,roc_auc,pr_auc,brier_score,ece,sensitivity_at_specificity_0_90
17,0.37459370493888855,46,240,124,27,0.6301369863013698,0.6593406593406593,0.27058823529411763,0.898876404494382,0.37860082304526743,0.6544622425629291,0.6447388228210146,0.22148639900804162,0.6946786090621707,0.34022678358633185,0.16821395072378095,0.16803170765432565,"{'target_specificity': 0.9, 'sensitivity': 0.2328767123287671, 'achieved_specificity': 0.9285714285714286, 'threshold': 0.6318573951721191}"
42,0.4761533737182617,47,264,100,26,0.6438356164383562,0.7252747252747253,0.3197278911564626,0.9103448275862069,0.42727272727272725,0.7116704805491991,0.6845551708565407,0.2914141723286025,0.734683125094084,0.3856705932786259,0.19423525912592457,0.26392389245723424,"{'target_specificity': 0.9, 'sensitivity': 0.3013698630136986, 'achieved_specificity': 0.9010989010989011, 'threshold': 0.5518597364425659}"
73,0.42694932222366333,54,234,130,19,0.7397260273972602,0.6428571428571429,0.29347826086956524,0.924901185770751,0.42023346303501946,0.6590389016018307,0.6912915851272016,0.2890472297290781,0.7238822821014602,0.3466556495656745,0.18718466641393883,0.24514788382386177,"{'target_specificity': 0.9, 'sensitivity': 0.273972602739726, 'achieved_specificity': 0.9010989010989011, 'threshold': 0.5197888016700745}"
